fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,87.72317109699361,0.029108759481459856,0.015871733632202758,14020,9.567219734191895,12.435944557189941,9.199703216552734,9.199703216552734,0.39737027883529663,0.6673294901847839,92.3118896484375,7.579061985015869,0.0,0.10905124992132187,0.0
2,002,108.79675841215067,0.3905828013084829,0.21331665827880006,14020,13.297025680541992,17.97687339782715,10.005789756774902,10.005789756774902,0.17634904384613037,0.5996751189231873,87.93009185791016,12.069907188415527,0.0,0.0,0.0
3,003,103.59394730906934,0.027476326562464237,0.022194124848517155,14020,10.524532318115234,15.750155448913574,9.587760925292969,9.587760925292969,0.24665504693984985,0.5104638934135437,86.91437530517578,12.520194053649902,0.0,0.5654280781745911,0.0
4,004,69.3308674748987,0.020901479059830308,0.016496826408705846,14020,10.600181579589844,14.853799819946289,9.39521598815918,9.39521598815918,0.4012335538864136,0.6344305276870728,86.58247375488281,13.259668350219727,0.0,0.15785318613052368,0.0
5,005,106.67002608301118,0.04252735571935773,0.01939231906947457,14020,9.148194313049316,12.098881721496582,9.079042434692383,9.079042434692383,0.3653576374053955,0.684177577495575,90.1048812866211,9.895120620727539,0.0,0.0,0.0
6,006,142.6351887760684,0.038912676740437746,0.025684935142203134,14020,11.689953804016113,17.421894073486328,8.882752418518066,8.882752418518066,0.539573073387146,0.7795052528381348,90.09901428222656,9.90099048614502,0.0,0.0,0.0
7,007,107.87078780587763,0.09302451531402767,0.04748571481063178,14020,10.251620292663574,13.993616104125977,11.468144416809082,11.468144416809082,0.4256388545036316,0.6964958906173706,81.21490478515625,14.395099639892578,0.0,4.389995098114014,0.0
8,008,66.34402046818286,0.034584786510095,0.018107218068112566,14020,9.512691497802734,13.31378173828125,8.788219451904297,8.788219451904297,0.4567708969116211,0.6779364943504333,88.74345397949219,10.10471248626709,0.0,1.1518324613571167,0.0
9,009,90.87909831898287,0.045179038774222136,0.02181508390836414,14020,16.298974990844727,53.78111267089844,12.239638328552246,12.239638328552246,-4.427885055541992,0.23099565505981445,90.72911834716797,7.725736618041992,1.5451472997665405,0.0,0.0
10,010,51.124812457943335,0.03232583496719599,0.016960039332211956,14020,14.563411712646484,22.290639877319336,12.959490776062012,12.959490776062012,0.4310929775238037,0.6621984243392944,79.06610870361328,18.52046012878418,0.0,2.413431167602539,0.0
11,011,94.43477822397836,0.15035675186663866,0.07045770940329835,14020,10.916343688964844,15.162450790405273,9.040994644165039,9.040994644165039,0.6038539409637451,0.7791686058044434,90.2999038696289,9.700093269348145,0.0,0.0,0.0
12,012,65.16420287895016,0.030974590918049216,0.01733329094462743,14020,10.980545043945312,15.422019004821777,8.891589164733887,8.891589164733887,0.35404282808303833,0.6042619347572327,89.70340728759766,10.296586036682129,0.0,0.0,0.0
13,013,100.20336506608874,0.04834010312333703,0.02486630819101699,14020,14.077208518981934,20.067975997924805,10.367584228515625,10.367584228515625,0.20258575677871704,0.6030948162078857,87.7572021484375,12.242798805236816,0.0,0.0,0.0
14,014,40.170322745107114,0.03815855644643307,0.02717845900743096,14020,13.793511390686035,20.277353286743164,11.15349292755127,11.15349292755127,0.11846059560775757,0.38843974471092224,82.40740966796875,17.5213680267334,0.0,0.07122506946325302,0.0
15,015,81.84881888190284,0.008601309033110738,0.02245772593501498,14020,12.808034896850586,18.234834671020508,11.2216157913208,11.2216157913208,-0.5413702726364136,0.2321201115846634,80.93994903564453,18.537858963012695,0.0,0.522193193435669,0.0
16,016,118.63744827685878,0.03879461530596018,0.022372903867335744,14020,11.377232551574707,15.552874565124512,10.461727142333984,10.461727142333984,0.15677446126937866,0.4611079692840576,85.81314849853516,13.956171035766602,0.0,0.23068049550056458,0.0
