fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,7827.2740081199445,6.326993135036901,3.4498326799546897,694131.0,11.05968189239502,14.944849014282227,10.277198791503906,10.277198791503906,0.14227145910263062,0.45678383111953735,85.9869155883789,13.904035568237305,0.0,0.10905124992132187,0.0
2,002,7028.38201987301,4.455052862176672,2.4331255391461886,694131.0,16.147085189819336,21.80046272277832,12.218401908874512,12.218401908874512,-0.20223772525787354,0.3251194357872009,80.39322662353516,19.60677146911621,0.0,0.0,0.0
3,003,6509.665967208799,2.894158508395776,2.337769392888349,694131.0,12.247629165649414,18.754493713378906,11.136425971984863,11.136425971984863,-0.08127951622009277,0.24361595511436462,85.29887390136719,14.135703086853027,0.0,0.5654280781745911,0.0
4,004,5586.159934401978,3.032020522048697,2.3930706567077324,694131.0,12.367712020874023,17.866079330444336,10.859060287475586,10.859060287475586,0.15396618843078613,0.45999908447265625,81.76795959472656,18.074190139770508,0.0,0.15785318613052368,0.0
5,005,6040.066255284008,5.195722689153627,2.3692305924093144,694131.0,10.491655349731445,13.999774932861328,10.221866607666016,10.221866607666016,0.14461326599121094,0.4712086021900177,86.82170867919922,13.132694244384766,0.0,0.04559963569045067,0.0
6,006,5690.102299208986,3.6212534110527486,2.3902662779226063,694131.0,16.118209838867188,23.51886558532715,12.234275817871094,12.234275817871094,0.158636212348938,0.4678587019443512,81.45214080810547,18.547855377197266,0.0,0.0,0.0
7,007,7353.924673993839,5.469873669091612,2.792176451807867,694131.0,13.3926362991333,18.648557662963867,14.652410507202148,14.652410507202148,-0.020579814910888672,0.4126776456832886,75.24246978759766,21.541603088378906,0.0,3.2159264087677,0.0
8,008,8242.686596299056,4.8292314044665545,2.5283934054798713,694131.0,11.966096878051758,16.455543518066406,10.968533515930176,10.968533515930176,0.16345953941345215,0.48103153705596924,84.45026397705078,14.607329368591309,0.0,0.9424083828926086,0.0
9,009,8670.329624893144,6.496610138565302,3.13694357246031,694131.0,15.125101089477539,23.073715209960938,11.271044731140137,11.271044731140137,0.001806795597076416,0.38537734746932983,83.24480438232422,16.755189895629883,0.0,0.0,0.0
10,010,6390.36165558896,4.40882479143329,2.3131294813396064,694131.0,19.512163162231445,30.29772186279297,17.94757652282715,17.94757652282715,-0.05958199501037598,0.35881224274635315,70.7764892578125,26.600208282470703,0.05246589332818985,2.46589732170105,0.1049317866563797
11,011,10513.102792209,4.989254500018433,2.3379824273750858,694131,15.794768333435059,22.217365264892578,12.634390830993652,12.634390830993652,0.14548951387405396,0.4786616563796997,79.6157455444336,20.384254455566406,0.0,0.0,0.0
12,012,6384.2662673390005,4.393093344013323,2.4583622518261463,694131,11.564122200012207,18.317279815673828,9.146737098693848,9.146737098693848,0.08245831727981567,0.4308687150478363,88.52825927734375,11.471739768981934,0.0,0.0,0.0
13,013,7937.751580623997,4.855419706043904,2.497643881709827,694131,15.837218284606934,23.998804092407227,11.541855812072754,11.541855812072754,-0.14141583442687988,0.329399973154068,82.45884704589844,17.541152954101562,0.0,0.0,0.0
14,014,6972.364684237007,3.0180620880273636,2.1496168718143616,694131,14.980026245117188,21.649585723876953,12.09931468963623,12.09931468963623,0.027591347694396973,0.36077991127967834,79.77207946777344,20.156694412231445,0.0,0.07122506946325302,0.0
15,015,5513.32656965901,0.8465262539975811,2.210251315920577,694131,10.682597160339355,14.758953094482422,9.768644332885742,9.768644332885742,-0.038269758224487305,0.4001675248146057,88.77284240722656,11.227153778076172,0.0,0.0,0.0
16,016,6243.6219048560015,3.8649741550034378,2.22893549884858,694131,14.010038375854492,19.13569450378418,12.879528045654297,12.879528045654297,-0.3126952648162842,0.16286960244178772,78.0276870727539,21.972318649291992,0.0,0.0,0.0
