step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_graph_prior_weight,fold1/diag_graph_residual_mean,fold1/diag_fusion_gate_cgm,fold1/diag_fusion_gate_cgm_guided,fold1/diag_fusion_gate_physio
1,0.28702330194733516,12.527938842773438,19.39801597595215,9.533834457397461,0.27374589443206787,0.6147518157958984,87.07939147949219,18426.0,12.920604705810547,2734.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0825276374816895,10.778280258178711,5.4640374183654785,0.7757315635681152,0.8844327926635742,97.0699462890625,5135.0,2.930056571960449,155.0,0.0,0.0,0.0,0.0,0.0,0.0,11.843461990356445,17.986278533935547,9.04043960571289,0.37549078464508057,0.670136034488678,87.99622344970703,4655.0,12.00378131866455,635.0,0.0,0.0,0.0,0.0,0.0,0.0,14.787948608398438,22.032915115356445,11.208517074584961,0.06313508749008179,0.4978533387184143,82.81663513183594,4381.0,17.183364868164062,909.0,0.0,0.0,0.0,0.0,0.0,0.0,16.397815704345703,24.08329963684082,12.422341346740723,-0.1191023588180542,0.3889513313770294,80.43478393554688,4255.0,19.565217971801758,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0015920400619507,0.01173220481723547,0.3072666525840759,0.5482487082481384,0.14448462426662445
2,0.2762368054023963,12.33163833618164,19.03350257873535,9.386910438537598,0.3007838726043701,0.6187909841537476,87.93006134033203,18606.0,12.06994342803955,2554.0,0.0,0.0,0.0,0.0,0.0,0.0,7.064740180969238,10.719552040100098,5.4392619132995605,0.7781688570976257,0.8855069875717163,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.691764831542969,17.683610916137695,8.91893196105957,0.3963319659233093,0.6725368499755859,89.31947326660156,4725.0,10.680529594421387,565.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48361587524414,21.554574966430664,10.991765022277832,0.10337281227111816,0.500720739364624,83.93194580078125,4440.0,16.06805419921875,850.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0864315032959,23.5982723236084,12.197684288024902,-0.07447969913482666,0.39098989963531494,81.3610610961914,4304.0,18.638940811157227,986.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0007380247116089,0.011406110599637032,0.229843407869339,0.5465893745422363,0.2235671728849411
3,0.2742135374739067,12.363890647888184,18.998868942260742,9.388608932495117,0.30332624912261963,0.6186932325363159,87.99622344970703,18620.0,12.00378131866455,2540.0,0.0,0.0,0.0,0.0,0.0,0.0,7.035246849060059,10.673589706420898,5.411776065826416,0.7800670862197876,0.8865525722503662,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.742562294006348,17.657381057739258,8.938644409179688,0.3981214761734009,0.6721585988998413,89.33837127685547,4726.0,10.661625862121582,564.0,0.0,0.0,0.0,0.0,0.0,0.0,14.524772644042969,21.513290405273438,10.993074417114258,0.10680419206619263,0.49911248683929443,84.1587905883789,4452.0,15.841209411621094,838.0,0.0,0.0,0.0,0.0,0.0,0.0,16.152978897094727,23.56475257873535,12.210941314697266,-0.07142961025238037,0.3874008357524872,81.37995910644531,4305.0,18.620037078857422,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995986223220825,0.011294207535684109,0.3561369776725769,0.4046879708766937,0.23917506635189056
4,0.26973099647359927,12.372344970703125,18.942459106445312,9.404704093933105,0.3074571490287781,0.6187987327575684,88.01512145996094,18624.0,11.984877586364746,2536.0,0.0,0.0,0.0,0.0,0.0,0.0,7.082010746002197,10.68606948852539,5.448025226593018,0.7795524597167969,0.8865230083465576,97.0699462890625,5135.0,2.930056571960449,155.0,0.0,0.0,0.0,0.0,0.0,0.0,11.806000709533691,17.65486717224121,8.987295150756836,0.3982928991317749,0.6717784404754639,89.30056762695312,4724.0,10.699433326721191,566.0,0.0,0.0,0.0,0.0,0.0,0.0,14.496529579162598,21.416784286499023,10.986324310302734,0.11479973793029785,0.4990138113498688,84.27220916748047,4458.0,15.727787971496582,832.0,0.0,0.0,0.0,0.0,0.0,0.0,16.10483741760254,23.467037200927734,12.197172164916992,-0.06256222724914551,0.38503459095954895,81.41777038574219,4307.0,18.582231521606445,983.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0004767179489136,0.01121288351714611,0.2901960611343384,0.35693982243537903,0.352864146232605
5,0.26530003532607743,12.408333778381348,18.9381160736084,9.419900894165039,0.3077746033668518,0.6199746131896973,88.07183837890625,18636.0,11.928166389465332,2524.0,0.0,0.0,0.0,0.0,0.0,0.0,7.118636131286621,10.64161491394043,5.4721856117248535,0.7813827991485596,0.8882452249526978,97.2022705078125,5142.0,2.797731637954712,148.0,0.0,0.0,0.0,0.0,0.0,0.0,11.81169319152832,17.599544525146484,8.984277725219727,0.402057945728302,0.6746352314949036,89.33837127685547,4726.0,10.661625862121582,564.0,0.0,0.0,0.0,0.0,0.0,0.0,14.517745971679688,21.397829055786133,10.991018295288086,0.11636590957641602,0.5006700754165649,84.38563537597656,4464.0,15.61436653137207,826.0,0.0,0.0,0.0,0.0,0.0,0.0,16.185264587402344,23.531978607177734,12.232120513916016,-0.06845128536224365,0.3840329647064209,81.3610610961914,4304.0,18.638940811157227,986.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0005865097045898,0.01114751398563385,0.3603300154209137,0.4003083407878876,0.23936165869235992
6,0.26232707057881494,12.442706108093262,18.905681610107422,9.449482917785645,0.31014376878738403,0.6206434965133667,88.01985168457031,18625.0,11.980151176452637,2535.0,0.0,0.0,0.0,0.0,0.0,0.0,7.056797027587891,10.481952667236328,5.4348673820495605,0.7878936529159546,0.8917902708053589,97.41020965576172,5153.0,2.589792013168335,137.0,0.0,0.0,0.0,0.0,0.0,0.0,11.854840278625488,17.525745391845703,9.024744033813477,0.4070621132850647,0.6769682168960571,89.45179748535156,4732.0,10.54820442199707,558.0,0.0,0.0,0.0,0.0,0.0,0.0,14.604266166687012,21.394670486450195,11.059576034545898,0.11662673950195312,0.4984850287437439,84.25330352783203,4457.0,15.746691703796387,833.0,0.0,0.0,0.0,0.0,0.0,0.0,16.254920959472656,23.5572509765625,12.278743743896484,-0.07074737548828125,0.379792720079422,80.96408081054688,4283.0,19.035917282104492,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0021638870239258,0.011103112250566483,0.3705742359161377,0.3996315598487854,0.22979426383972168
7,0.25653560674042597,12.42037582397461,18.884794235229492,9.42275333404541,0.31166720390319824,0.621259331703186,87.97258758544922,18615.0,12.027410507202148,2545.0,0.0,0.0,0.0,0.0,0.0,0.0,6.795826435089111,10.091249465942383,5.2460246086120605,0.8034110069274902,0.8997520804405212,97.75047302246094,5171.0,2.2495274543762207,119.0,0.0,0.0,0.0,0.0,0.0,0.0,11.805974960327148,17.437084197998047,8.987528800964355,0.41304612159729004,0.6794016361236572,89.65972900390625,4743.0,10.340264320373535,547.0,0.0,0.0,0.0,0.0,0.0,0.0,14.691901206970215,21.456790924072266,11.106491088867188,0.11148947477340698,0.49353528022766113,83.87523651123047,4437.0,16.12476348876953,853.0,0.0,0.0,0.0,0.0,0.0,0.0,16.387802124023438,23.66986846923828,12.350966453552246,-0.08100950717926025,0.37115970253944397,80.60491943359375,4264.0,19.395084381103516,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0039904117584229,0.011064003221690655,0.3951983153820038,0.3531630337238312,0.2516387104988098
8,0.25137888077177895,12.31765079498291,18.69251823425293,9.352163314819336,0.3256123661994934,0.6296018958091736,88.02930450439453,18627.0,11.970699310302734,2533.0,0.0,0.0,0.0,0.0,0.0,0.0,6.480152606964111,9.598697662353516,5.022807598114014,0.8221336007118225,0.9092183709144592,98.14744567871094,5192.0,1.852552056312561,98.0,0.0,0.0,0.0,0.0,0.0,0.0,11.683915138244629,17.16307830810547,8.906167984008789,0.4313478469848633,0.6903669238090515,90.01890563964844,4762.0,9.981096267700195,528.0,0.0,0.0,0.0,0.0,0.0,0.0,14.660377502441406,21.31240463256836,11.087791442871094,0.12340712547302246,0.499504029750824,83.72400665283203,4429.0,16.27599334716797,861.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44615364074707,23.594831466674805,12.391885757446289,-0.07416653633117676,0.37298446893692017,80.22684478759766,4244.0,19.773157119750977,1046.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0010459423065186,0.011042960919439793,0.43756717443466187,0.33459681272506714,0.22783604264259338
9,0.24517319557438452,12.171483993530273,18.52351951599121,9.228466987609863,0.337751567363739,0.6374350190162659,88.15690612792969,18654.0,11.843100547790527,2506.0,0.0,0.0,0.0,0.0,0.0,0.0,6.223644256591797,9.133016586303711,4.830432891845703,0.838973343372345,0.9185738563537598,98.44990539550781,5208.0,1.550094485282898,82.0,0.0,0.0,0.0,0.0,0.0,0.0,11.538350105285645,16.938522338867188,8.79254150390625,0.44613075256347656,0.7002379894256592,90.20793914794922,4772.0,9.792060852050781,518.0,0.0,0.0,0.0,0.0,0.0,0.0,14.566679000854492,21.19928741455078,10.997943878173828,0.13268762826919556,0.504204511642456,83.68620300292969,4427.0,16.313800811767578,863.0,0.0,0.0,0.0,0.0,0.0,0.0,16.357257843017578,23.510587692260742,12.292949676513672,-0.06650972366333008,0.3747691512107849,80.28355407714844,4247.0,19.716445922851562,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980603456497192,0.011021643877029419,0.40832266211509705,0.3457598388195038,0.24591754376888275
10,0.23886640067932235,12.253979682922363,18.553882598876953,9.306575775146484,0.33557868003845215,0.6375439167022705,87.98677062988281,18618.0,12.013233184814453,2542.0,0.0,0.0,0.0,0.0,0.0,0.0,6.114283084869385,8.892577171325684,4.7610931396484375,0.8473402261734009,0.9229989051818848,98.58222961425781,5215.0,1.417769432067871,75.0,0.0,0.0,0.0,0.0,0.0,0.0,11.577339172363281,16.826738357543945,8.8428955078125,0.45341694355010986,0.7050046920776367,90.17013549804688,4770.0,9.829867362976074,520.0,0.0,0.0,0.0,0.0,0.0,0.0,14.748323440551758,21.286828994750977,11.149086952209473,0.1255098581314087,0.5013738870620728,83.47825622558594,4416.0,16.521738052368164,874.0,0.0,0.0,0.0,0.0,0.0,0.0,16.57597541809082,23.698944091796875,12.473230361938477,-0.08366703987121582,0.3654452860355377,79.71644592285156,4217.0,20.283554077148438,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959058165550232,0.011005527339875698,0.4349483251571655,0.2968904972076416,0.26816123723983765
