fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,87.72317109699361,0.029108759481459856,0.015871733632202758,14020,6.63801383972168,8.683259963989258,6.43004846572876,6.43004846572876,0.7040700912475586,0.8578198552131653,97.92802429199219,1.9629225730895996,0.0,0.10905124992132187,0.0
2,002,108.79675841215067,0.3905828013084829,0.21331665827880006,14020,8.663551330566406,11.532210350036621,6.612536430358887,6.612536430358887,0.6604225635528564,0.8538236618041992,97.21463775634766,2.78536319732666,0.0,0.0,0.0
3,003,103.59394730906934,0.027476326562464237,0.022194124848517155,14020,7.509612560272217,10.846935272216797,6.872900009155273,6.872900009155273,0.6457358002662659,0.8047186136245728,93.61873626708984,5.815832138061523,0.0,0.5654280781745911,0.0
4,004,69.3308674748987,0.020901479059830308,0.016496826408705846,14020,7.463911056518555,9.979009628295898,6.6848464012146,6.6848464012146,0.7267661094665527,0.8581631183624268,96.1325912475586,3.709550142288208,0.0,0.15785318613052368,0.0
5,005,106.67002608301118,0.04252735571935773,0.01939231906947457,14020,6.174668788909912,8.08536434173584,6.115956783294678,6.115956783294678,0.7129192352294922,0.8746254444122314,98.35841369628906,1.6415867805480957,0.0,0.0,0.0
6,006,142.6351887760684,0.038912676740437746,0.025684935142203134,14020,7.395503520965576,10.645837783813477,5.710331916809082,5.710331916809082,0.8283802270889282,0.9320523142814636,97.95379638671875,2.0462045669555664,0.0,0.0,0.0
7,007,107.87078780587763,0.09302451531402767,0.04748571481063178,14020,6.865898609161377,9.096028327941895,7.757297039031982,7.757297039031982,0.7599974870681763,0.8957114815711975,94.94640350341797,3.522205352783203,0.0,1.5313935279846191,0.0
8,008,66.34402046818286,0.034584786510095,0.018107218068112566,14020,7.2431840896606445,10.146405220031738,6.73046875,6.73046875,0.6828835010528564,0.8273120522499084,94.60733032226562,4.81675386428833,0.0,0.5759162306785583,0.0
9,009,90.87909831898287,0.045179038774222136,0.02181508390836414,14020,11.062620162963867,37.601417541503906,8.328507423400879,8.328507423400879,-1.6516613960266113,0.42688870429992676,96.28199005126953,2.317720890045166,1.4002896547317505,0.0,0.0
10,010,51.124812457943335,0.03232583496719599,0.016960039332211956,14020,10.590810775756836,15.554656982421875,9.728299140930176,9.728299140930176,0.7243025898933411,0.8600055575370789,88.45750427246094,9.44386100769043,0.0,2.0986359119415283,0.0
11,011,94.43477822397836,0.15035675186663866,0.07045770940329835,14020,6.6989264488220215,9.021332740783691,5.684570789337158,5.684570789337158,0.8604045510292053,0.9308367967605591,98.64105224609375,1.3589503765106201,0.0,0.0,0.0
12,012,65.16420287895016,0.030974590918049216,0.01733329094462743,14020,7.416388988494873,10.306112289428711,6.0918288230896,6.0918288230896,0.7141360640525818,0.849220335483551,97.14604949951172,2.853945016860962,0.0,0.0,0.0
13,013,100.20336506608874,0.04834010312333703,0.02486630819101699,14020,10.61283016204834,14.172201156616211,8.037190437316895,8.037190437316895,0.6020472049713135,0.8361621499061584,95.57613372802734,4.423868179321289,0.0,0.0,0.0
14,014,40.170322745107114,0.03815855644643307,0.02717845900743096,14020,12.655163764953613,18.834339141845703,10.249534606933594,10.249534606933594,0.23810309171676636,0.5067065954208374,84.18803405761719,15.740739822387695,0.0,0.07122506946325302,0.0
15,015,81.84881888190284,0.008601309033110738,0.02245772593501498,14020,9.362849235534668,12.571246147155762,8.392068862915039,8.392068862915039,0.28082799911499023,0.7068581581115723,95.0391616821289,4.438642501831055,0.0,0.522193193435669,0.0
16,016,118.63744827685878,0.03879461530596018,0.022372903867335744,14020,7.94335412979126,10.856046676635742,7.426146507263184,7.426146507263184,0.595596194267273,0.7731103897094727,94.23298645019531,5.420991897583008,0.0,0.34602075815200806,0.0
