fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,374.9095961500425,0.21483336901292205,0.11713924155557363,106380,4.3445844650268555,6.239675998687744,4.072362899780273,4.072362899780273,0.847191572189331,0.9224334955215454,99.12759399414062,0.7633587718009949,0.0,0.10905124992132187,0.0
2,002,304.0500032159034,0.2116300710476935,0.11558168817460049,106380,5.477816581726074,7.601446628570557,4.311498641967773,4.311498641967773,0.8524612188339233,0.9261389374732971,99.29000854492188,0.7099945545196533,0.0,0.0,0.0
3,003,385.3854840421118,0.1366161764599383,0.11035232347329425,106380,4.272587776184082,6.229631423950195,3.8765907287597656,3.8765907287597656,0.8831475377082825,0.9407033324241638,99.27301788330078,0.7269790172576904,0.0,0.0,0.0
4,004,290.7157629148569,0.1380112871993333,0.10892761420626149,106380,4.751139163970947,6.707025527954102,4.162555694580078,4.162555694580078,0.8765703439712524,0.9383676052093506,99.36859130859375,0.6314127445220947,0.0,0.0,0.0
5,005,301.5962079700548,0.24569416581653059,0.11203564332719133,106380,3.782036066055298,5.431778907775879,3.588228940963745,3.588228940963745,0.8704346418380737,0.9347454905509949,99.72640228271484,0.2735978364944458,0.0,0.0,0.0
6,006,390.7058457089588,0.16877894662320614,0.11140524529584564,106380,4.428444862365723,6.374294281005859,3.5584230422973633,3.5584230422973633,0.9384720921516418,0.968917727470398,99.66996765136719,0.33003300428390503,0.0,0.0,0.0
7,007,313.4924310189672,0.2195454405155033,0.11207015850714819,106380,3.8214364051818848,5.703771591186523,4.0373005867004395,4.0373005867004395,0.9056294560432434,0.9522594809532166,99.13220977783203,0.8167432546615601,0.0,0.051046453416347504,0.0
8,008,452.37384117697366,0.20986894867382944,0.10987903071928243,106380,5.922525405883789,8.660848617553711,5.446674823760986,5.446674823760986,0.7689450979232788,0.8865212202072144,98.06282806396484,1.8324607610702515,0.0,0.10471203923225403,0.0
9,009,457.41995939495973,0.22524146363139153,0.10875976032418712,106380,4.2260966300964355,6.042545318603516,3.312469720840454,3.312469720840454,0.9315222501754761,0.9654786586761475,99.5654296875,0.43457266688346863,0.0,0.0,0.0
10,010,421.39362485706806,0.20809367462061346,0.10917821333715291,106380,6.121809959411621,8.947144508361816,5.504240989685059,5.504240989685059,0.9087819457054138,0.9542397856712341,96.90451049804688,2.833158493041992,0.0,0.26232948899269104,0.0
11,011,477.18010674905963,0.23990756156854331,0.11242153775470633,106380,4.522550582885742,6.3588361740112305,3.7664856910705566,3.7664856910705566,0.9306437969207764,0.9654667377471924,99.81256103515625,0.18744142353534698,0.0,0.0,0.0
12,012,323.27803418412805,0.23758328496478498,0.13295091492153607,106380,4.6299028396606445,7.211151599884033,3.7280197143554688,3.7280197143554688,0.8600480556488037,0.9303123950958252,98.936767578125,1.0632344484329224,0.0,0.0,0.0
13,013,373.1423534329515,0.21892232331447303,0.11261436384489354,106380,4.572744846343994,7.189857006072998,3.5746450424194336,3.5746450424194336,0.8975769877433777,0.9484845995903015,98.91975402832031,1.080246925354004,0.0,0.0,0.0
14,014,477.1861867560074,0.15902823419310153,0.11326797307200963,106380,5.022647380828857,7.285114765167236,4.2088189125061035,4.2088189125061035,0.8860095739364624,0.942804217338562,99.00285339355469,0.9971509575843811,0.0,0.0,0.0
15,015,351.67757817101665,0.050490922294557095,0.1318300843199924,106380,4.414646625518799,6.58809757232666,4.202439308166504,4.202439308166504,0.802486777305603,0.9050800800323486,98.43342590332031,1.3054829835891724,0.0,0.2610965967178345,0.0
16,016,437.8470030790195,0.19280245178379118,0.11118941856043321,106380,6.326115131378174,8.81503963470459,5.962749004364014,5.962749004364014,0.7333630323410034,0.870855450630188,97.40484619140625,2.3644752502441406,0.0,0.23068049550056458,0.0
