fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,48.80804410204291,0.03191101527772844,0.017399681176514963,18948,9.192017555236816,12.61461353302002,8.592371940612793,8.592371940612793,0.38442569971084595,0.6260669827461243,91.98473358154297,7.906215667724609,0.0,0.10905124992132187,0.0
2,002,47.44839032110758,0.03039546310901642,0.016600471386682917,18948,14.437271118164062,19.31538200378418,10.939485549926758,10.939485549926758,0.052484095096588135,0.472796767950058,85.96395111083984,14.036046028137207,0.0,0.0,0.0
3,003,42.998122069984674,0.01826484641060233,0.014753510832473612,18948,12.03095531463623,17.545040130615234,11.062256813049316,11.062256813049316,0.05716472864151001,0.32981231808662415,83.52180480957031,15.912762641906738,0.0,0.5654280781745911,0.0
4,004,43.66128600598313,0.09422519360668957,0.07436874002106517,18948,10.853858947753906,15.534175872802734,9.452774047851562,9.452774047851562,0.35303860902786255,0.5990622639656067,87.05603790283203,12.786108016967773,0.0,0.15785318613052368,0.0
5,005,79.28752455394715,0.04792520869523287,0.021853720335263505,18948,9.354703903198242,12.641907691955566,9.116497993469238,9.116497993469238,0.30698299407958984,0.6062420010566711,91.19927215576172,8.800729751586914,0.0,0.0,0.0
6,006,49.74036767706275,0.030225953087210655,0.01995112414997403,18948,14.446532249450684,21.083393096923828,10.956864356994629,10.956864356994629,0.32475459575653076,0.604419469833374,84.35643005371094,15.643564224243164,0.0,0.0,0.0
7,007,61.39306812500581,0.02974254684522748,0.01518251497969754,18948,11.073095321655273,15.645845413208008,12.265671730041504,12.265671730041504,0.2814648747444153,0.5734420418739319,78.71363067626953,16.334863662719727,0.0,4.951505661010742,0.0
8,008,46.743173588998616,0.03117578849196434,0.01632240235181379,18948,10.765892028808594,14.916458129882812,9.972795486450195,9.972795486450195,0.31534314155578613,0.5784472823143005,86.59685516357422,12.25130844116211,0.0,1.1518324613571167,0.0
9,009,53.105935127008706,0.03138617426156998,0.015155081729391588,18948,12.335768699645996,18.979236602783203,9.044151306152344,9.044151306152344,0.3242608904838562,0.6287360787391663,87.83197021484375,12.168034553527832,0.0,0.0,0.0
10,010,44.418829567031935,0.027099102037027478,0.014217787007884302,18948,15.64171028137207,24.64035987854004,13.740436553955078,13.740436553955078,0.3010505437850952,0.559464693069458,78.17418670654297,19.35991668701172,0.0,2.46589732170105,0.0
11,011,50.35112928296439,0.042193647008389235,0.01977209325603994,18948,13.464470863342285,19.00372314453125,10.922982215881348,10.922982215881348,0.3748059868812561,0.6189696192741394,85.00468444824219,14.995314598083496,0.0,0.0,0.0
12,012,43.88646694389172,0.030266378074884415,0.016936977098424406,18948,10.451582908630371,16.260345458984375,8.270755767822266,8.270755767822266,0.27891480922698975,0.5427956581115723,90.15109252929688,9.848909378051758,0.0,0.0,0.0
13,013,73.4458924359642,0.029428962850943208,0.015138355375999592,18948,13.48991584777832,20.906675338745117,9.81048583984375,9.81048583984375,0.13440418243408203,0.49802321195602417,86.5740737915039,13.425925254821777,0.0,0.0,0.0
14,014,57.36587075795978,0.03226783708669245,0.022982789947786648,18948,12.765822410583496,19.513513565063477,10.200630187988281,10.200630187988281,0.1942887306213379,0.4900856912136078,84.82906341552734,15.099714279174805,0.0,0.07122506946325302,0.0
15,015,48.54769796086475,0.006140440236777067,0.016032481035971456,18948,8.664999961853027,13.037230491638184,7.671557426452637,7.671557426452637,0.18280327320098877,0.47412732243537903,93.99478149414062,6.005221843719482,0.0,0.0,0.0
16,016,67.02936157397926,0.02460376056842506,0.014189019935654591,18948,12.79220962524414,17.36161231994629,11.794912338256836,11.794912338256836,-0.06773030757904053,0.3091637194156647,80.96885681152344,18.97347068786621,0.0,0.057670123875141144,0.0
