step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_fusion_gate_cgm,fold1/diag_fusion_gate_cgm_guided,fold1/diag_fusion_gate_physio,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.2499794438816842,12.49701976776123,19.347436904907227,9.528775215148926,0.2775283455848694,0.6141918897628784,87.15973663330078,18443.0,12.840265274047852,2717.0,0.0,0.0,0.0,0.0,0.0,0.0,7.10930061340332,10.779600143432617,5.485852241516113,0.7756766080856323,0.8842238187789917,97.08885192871094,5136.0,2.9111530780792236,154.0,0.0,0.0,0.0,0.0,0.0,0.0,11.820500373840332,17.951522827148438,9.033876419067383,0.3779020309448242,0.6694554090499878,88.20415496826172,4666.0,11.795841217041016,624.0,0.0,0.0,0.0,0.0,0.0,0.0,14.724249839782715,21.95970344543457,11.187102317810059,0.0693509578704834,0.4965786635875702,82.91114807128906,4386.0,17.08884620666504,904.0,0.0,0.0,0.0,0.0,0.0,0.0,16.334030151367188,24.012659072875977,12.408271789550781,-0.11254692077636719,0.38918188214302063,80.43478393554688,4255.0,19.565217971801758,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19388744235038757,0.6621847152709961,0.1439279168844223,0.04256334900856018,0.11920291930437088,0.9998571276664734,0.9999604225158691,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.24398094977384618,12.447145462036133,19.12554359436035,9.447366714477539,0.2940051555633545,0.616998553276062,87.93478393554688,18607.0,12.065217971801758,2553.0,0.0,0.0,0.0,0.0,0.0,0.0,7.12753438949585,10.746672630310059,5.4828267097473145,0.777044951915741,0.8854026198387146,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.806442260742188,17.781219482421875,8.98153018951416,0.38964951038360596,0.6708378195762634,89.16824340820312,4717.0,10.831758499145508,573.0,0.0,0.0,0.0,0.0,0.0,0.0,14.641301155090332,21.66463279724121,11.075160026550293,0.0941929817199707,0.4984172284603119,83.98866271972656,4443.0,16.011343002319336,847.0,0.0,0.0,0.0,0.0,0.0,0.0,16.21330451965332,23.709209442138672,12.249947547912598,-0.08460593223571777,0.3878398537635803,81.47447967529297,4310.0,18.52552032470703,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14959673583507538,0.7723421454429626,0.07806116342544556,0.05800844728946686,0.11920291930437088,0.9964089393615723,0.9981335401535034,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.24472536466792816,12.364314079284668,19.02330780029297,9.38558292388916,0.3015327453613281,0.6205659508705139,87.9111557006836,18602.0,12.088847160339355,2558.0,0.0,0.0,0.0,0.0,0.0,0.0,7.055681228637695,10.690037727355957,5.423530101776123,0.7793886661529541,0.8868345618247986,97.08885192871094,5136.0,2.9111530780792236,154.0,0.0,0.0,0.0,0.0,0.0,0.0,11.723851203918457,17.692306518554688,8.917016983032227,0.3957381844520569,0.6739681959152222,89.16824340820312,4717.0,10.831758499145508,573.0,0.0,0.0,0.0,0.0,0.0,0.0,14.541472434997559,21.543203353881836,11.00119686126709,0.10431861877441406,0.5024795532226562,84.08317565917969,4448.0,15.916824340820312,842.0,0.0,0.0,0.0,0.0,0.0,0.0,16.136253356933594,23.582637786865234,12.200586318969727,-0.07305645942687988,0.39087870717048645,81.3043441772461,4301.0,18.69565200805664,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13530249893665314,0.7811638712882996,0.0835336223244667,0.08563446253538132,0.11920291930437088,0.9882959723472595,0.9875752925872803,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.24428400010941181,12.301362991333008,18.929956436157227,9.350146293640137,0.3083709478378296,0.6207489371299744,88.00567626953125,18622.0,11.994329452514648,2538.0,0.0,0.0,0.0,0.0,0.0,0.0,7.006774425506592,10.61790657043457,5.392269134521484,0.7823558449745178,0.8880008459091187,97.2211685180664,5143.0,2.7788279056549072,147.0,0.0,0.0,0.0,0.0,0.0,0.0,11.668437004089355,17.580894470214844,8.88717269897461,0.40332454442977905,0.6751013994216919,89.31947326660156,4725.0,10.680529594421387,565.0,0.0,0.0,0.0,0.0,0.0,0.0,14.455972671508789,21.425098419189453,10.953396797180176,0.1141122579574585,0.5023016333580017,84.12097930908203,4450.0,15.879016876220703,840.0,0.0,0.0,0.0,0.0,0.0,0.0,16.074270248413086,23.505537033081055,12.167747497558594,-0.06605148315429688,0.3877846896648407,81.3610610961914,4304.0,18.638940811157227,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07672615349292755,0.8175088167190552,0.10576511174440384,0.1077466681599617,0.11920291930437088,0.9865719676017761,0.9777430295944214,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.24377715606255465,12.338117599487305,18.932695388793945,9.368244171142578,0.3081708550453186,0.621173083782196,87.99149322509766,18619.0,12.008506774902344,2541.0,0.0,0.0,0.0,0.0,0.0,0.0,6.979487895965576,10.55423355102539,5.373067855834961,0.7849583029747009,0.8896349668502808,97.31568908691406,5148.0,2.684309959411621,142.0,0.0,0.0,0.0,0.0,0.0,0.0,11.692065238952637,17.561664581298828,8.902048110961914,0.404629111289978,0.6760569214820862,89.45179748535156,4732.0,10.54820442199707,558.0,0.0,0.0,0.0,0.0,0.0,0.0,14.499998092651367,21.41463279724121,10.97568130493164,0.11497759819030762,0.5017704963684082,84.139892578125,4451.0,15.860113143920898,839.0,0.0,0.0,0.0,0.0,0.0,0.0,16.18092155456543,23.566869735717773,12.222176551818848,-0.07162201404571533,0.3857499361038208,81.05860137939453,4288.0,18.94139862060547,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09732148051261902,0.7518385648727417,0.15083999931812286,0.11743412166833878,0.11920291930437088,0.9826682209968567,0.9537343978881836,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.2427151409532052,12.316668510437012,18.906343460083008,9.363550186157227,0.3100954294204712,0.6204512119293213,87.80245971679688,18579.0,12.197542190551758,2581.0,0.0,0.0,0.0,0.0,0.0,0.0,6.870015621185303,10.403510093688965,5.293695449829102,0.7910563945770264,0.892737090587616,97.39130401611328,5152.0,2.6086955070495605,138.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666372299194336,17.508760452270508,8.895915985107422,0.40821075439453125,0.676450252532959,89.2249526977539,4720.0,10.775047302246094,570.0,0.0,0.0,0.0,0.0,0.0,0.0,14.520182609558105,21.415855407714844,11.007318496704102,0.11487644910812378,0.49839600920677185,83.8941421508789,4438.0,16.105859756469727,852.0,0.0,0.0,0.0,0.0,0.0,0.0,16.210100173950195,23.587509155273438,12.257270812988281,-0.07349991798400879,0.3801930546760559,80.69943237304688,4269.0,19.300565719604492,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10325343906879425,0.5379615426063538,0.35878506302833557,0.12464379519224167,0.11920291930437088,0.9909253716468811,0.938706636428833,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.24123878357862075,12.282844543457031,18.81288719177246,9.331501960754395,0.3168991208076477,0.6246920228004456,87.96314239501953,18613.0,12.03686237335205,2547.0,0.0,0.0,0.0,0.0,0.0,0.0,6.683638095855713,10.022497177124023,5.1490702629089355,0.8060806393623352,0.9017343521118164,97.7126693725586,5169.0,2.287334680557251,121.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62820816040039,17.380908966064453,8.85754108428955,0.4168218970298767,0.6821627616882324,89.50850677490234,4735.0,10.491493225097656,555.0,0.0,0.0,0.0,0.0,0.0,0.0,14.549943923950195,21.379526138305664,11.022799491882324,0.11787688732147217,0.4992387592792511,84.0264663696289,4445.0,15.973535537719727,845.0,0.0,0.0,0.0,0.0,0.0,0.0,16.269588470458984,23.581098556518555,12.29659652709961,-0.07291638851165771,0.37850409746170044,80.60491943359375,4264.0,19.395084381103516,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11572032421827316,0.5146870017051697,0.3695927560329437,0.131113201379776,0.11920291930437088,0.9945003986358643,0.9240817427635193,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.23514912203424007,12.164854049682617,18.597347259521484,9.226269721984863,0.3324620723724365,0.6365913152694702,88.2419662475586,18672.0,11.758033752441406,2488.0,0.0,0.0,0.0,0.0,0.0,0.0,6.343011379241943,9.275978088378906,4.887998104095459,0.8338927030563354,0.9180974364280701,98.46881103515625,5209.0,1.5311908721923828,81.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48869514465332,17.00649642944336,8.74585247039795,0.44167637825012207,0.7001992464065552,90.11341857910156,4767.0,9.886578559875488,523.0,0.0,0.0,0.0,0.0,0.0,0.0,14.541988372802734,21.293954849243164,11.001363754272461,0.1249241828918457,0.5048853158950806,83.83743286132812,4435.0,16.16257095336914,855.0,0.0,0.0,0.0,0.0,0.0,0.0,16.28571891784668,23.55308723449707,12.269864082336426,-0.07036900520324707,0.3818953335285187,80.54820251464844,4261.0,19.45179557800293,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11798273772001266,0.47169843316078186,0.41031888127326965,0.13452374935150146,0.11920291930437088,0.9917693734169006,0.9230205416679382,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.2299417265689279,12.094636917114258,18.420475006103516,9.175893783569336,0.34509897232055664,0.6440626382827759,88.42154693603516,18710.0,11.578449249267578,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,5.992708206176758,8.650233268737793,4.644467353820801,0.8555475473403931,0.9287948608398438,98.86578369140625,5230.0,1.1342154741287231,60.0,0.0,0.0,0.0,0.0,0.0,0.0,11.379918098449707,16.64579200744629,8.682829856872559,0.46510910987854004,0.7137050628662109,90.60491180419922,4793.0,9.395085334777832,497.0,0.0,0.0,0.0,0.0,0.0,0.0,14.611117362976074,21.209993362426758,11.041319847106934,0.13181143999099731,0.5075350403785706,83.85633087158203,4436.0,16.143667221069336,854.0,0.0,0.0,0.0,0.0,0.0,0.0,16.394805908203125,23.568687438964844,12.33495807647705,-0.07178735733032227,0.3749476373195648,80.35916900634766,4251.0,19.640830993652344,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13330167531967163,0.4988980293273926,0.3678003251552582,0.14482738077640533,0.11920291930437088,0.9964397549629211,0.9266906380653381,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.22631982062524544,12.01986312866211,18.30949592590332,9.128711700439453,0.3529664874076843,0.6489014625549316,88.3412094116211,18693.0,11.65878963470459,2467.0,0.0,0.0,0.0,0.0,0.0,0.0,5.772124767303467,8.314213752746582,4.497899532318115,0.8665521144866943,0.9335063099861145,98.97920227050781,5236.0,1.0207940340042114,54.0,0.0,0.0,0.0,0.0,0.0,0.0,11.238054275512695,16.432464599609375,8.594364166259766,0.4787312150001526,0.7213174104690552,90.5103988647461,4788.0,9.489603042602539,502.0,0.0,0.0,0.0,0.0,0.0,0.0,14.609689712524414,21.153064727783203,11.043377876281738,0.13646560907363892,0.5104414820671082,83.87523651123047,4437.0,16.12476348876953,853.0,0.0,0.0,0.0,0.0,0.0,0.0,16.459585189819336,23.5445613861084,12.3792085647583,-0.06959414482116699,0.37274476885795593,80.0,4232.0,20.0,1058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146513432264328,0.5952416062355042,0.25824496150016785,0.15651334822177887,0.11920291930437088,0.9977993369102478,0.9270205497741699,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
