fold,epoch,train_loss,val_loss,learning_rate
1,1.0,0.2937723872934294,0.4452529689765382,0.0006666666666666666
1,2.0,0.22781017352144223,0.35485386269304386,0.001
1,3.0,0.21732640816954704,0.3355422411839318,0.001
1,4.0,0.21177523086542938,0.32749239742643216,0.0009966529870822618
1,5.0,0.20696030070142776,0.33069952126937463,0.0009866572109370128
1,6.0,0.20144380406879822,0.33316751254303467,0.0009701478472890247
1,7.0,0.19646730728243894,0.34047205801947583,0.0009473481569600891
1,8.0,0.19028713421356114,0.3511185917151222,0.0009185664666494036
1,9.0,0.1824737777196286,0.359841920815704,0.0008841919993438941
1,10.0,0.17377054818361523,0.3633285212156227,0.0008446896107450232
1,11.0,0.16190691230999246,0.3754872386757503,0.0008005935028928791
1,12.0,0.1515803185103236,0.38384137128837165,0.0007524999999999999
2,1.0,0.29682401324811425,0.3956032465202066,0.0006666666666666666
2,2.0,0.22060896019668688,0.34227614435845255,0.001
2,3.0,0.2091269304958195,0.3325452232756879,0.001
2,4.0,0.20398943626677063,0.33138338613223395,0.0009966529870822618
2,5.0,0.2000815105110237,0.3271500276054306,0.0009866572109370128
2,6.0,0.19728082056516036,0.32716878487769124,0.0009701478472890247
2,7.0,0.19364983591001897,0.32887809284459013,0.0009473481569600891
2,8.0,0.18796092087448887,0.33493638372926604,0.0009185664666494036
2,9.0,0.18251047422808986,0.3389692351303659,0.0008841919993438941
2,10.0,0.17357291466427482,0.34910233060102513,0.0008446896107450232
2,11.0,0.16393154931927995,0.3539628827038138,0.0008005935028928791
2,12.0,0.15412209218321987,0.3663934917286993,0.0007524999999999999
2,13.0,0.14535373316430955,0.3681883506617054,0.0007010594841893826
3,1.0,0.29932863042080315,0.3600494151032127,0.0006666666666666666
3,2.0,0.23080999719825127,0.2948426333577352,0.001
3,3.0,0.2199529389867981,0.2822987004745822,0.001
3,4.0,0.2106458489093118,0.2810115369126266,0.0009966529870822618
3,5.0,0.20569779298845628,0.28520188112966877,0.0009866572109370128
3,6.0,0.20104701886656334,0.29172369265139886,0.0009701478472890247
3,7.0,0.1958815336730558,0.3005208668923968,0.0009473481569600891
3,8.0,0.1878713396632723,0.3089180607809597,0.0009185664666494036
3,9.0,0.18077987732024206,0.3204711517305527,0.0008841919993438941
3,10.0,0.17119088995372447,0.33278531582247917,0.0008446896107450232
3,11.0,0.16231827441387942,0.3401726275205265,0.0008005935028928791
3,12.0,0.1531516763805454,0.34996825604112564,0.0007524999999999999
4,1.0,0.2906830478210854,0.34708808921787837,0.0006666666666666666
4,2.0,0.21443954633383516,0.29578334180187416,0.001
4,3.0,0.20171953572687537,0.2892161468719239,0.001
4,4.0,0.19494515501741153,0.2882301584988424,0.0009966529870822618
4,5.0,0.19111714078419245,0.29200266596389146,0.0009866572109370128
4,6.0,0.18634679550648858,0.29372313412357137,0.0009701478472890247
4,7.0,0.1829282890621921,0.2945203249911739,0.0009473481569600891
4,8.0,0.17674996678696217,0.29552265349044105,0.0009185664666494036
4,9.0,0.17012802941632477,0.29699555052469856,0.0008841919993438941
4,10.0,0.16116721749024793,0.2984977759400459,0.0008446896107450232
4,11.0,0.15242547166693987,0.29696786179934465,0.0008005935028928791
4,12.0,0.14343283937048557,0.3001283857484931,0.0007524999999999999
5,1.0,0.3096892478988106,0.43469374869999133,0.0006666666666666666
5,2.0,0.23826385791550977,0.3102279461894119,0.001
5,3.0,0.22749175867578048,0.2874263704659646,0.001
5,4.0,0.22095029020325577,0.28017272938761795,0.0009966529870822618
5,5.0,0.21556425684501895,0.27690772548056486,0.0009866572109370128
5,6.0,0.21136188449234075,0.2768909916543124,0.0009701478472890247
5,7.0,0.20618997654520574,0.2770773693344049,0.0009473481569600891
5,8.0,0.19922335946256564,0.27919690069399383,0.0009185664666494036
5,9.0,0.19208360040895636,0.28167275451777274,0.0008841919993438941
5,10.0,0.18281694123002984,0.2890617883832831,0.0008446896107450232
5,11.0,0.17279523461723684,0.29520939383590433,0.0008005935028928791
5,12.0,0.16198495634529414,0.30253361400805023,0.0007524999999999999
5,13.0,0.15218373813638827,0.3091355020958081,0.0007010594841893826
5,14.0,0.14329932501847137,0.3192952809835735,0.0006469676001919897
6,1.0,0.309661922157218,0.5020424699797341,0.0006666666666666666
6,2.0,0.24057378253561199,0.3684388925074106,0.001
6,3.0,0.2282766958197974,0.34891426402220604,0.001
6,4.0,0.22168175376429586,0.34454554192796305,0.0009966529870822618
6,5.0,0.21660021719710565,0.34266398706793344,0.0009866572109370128
6,6.0,0.20937066730719023,0.34716381195238377,0.0009701478472890247
6,7.0,0.2042311885738289,0.35337714086863986,0.0009473481569600891
6,8.0,0.1966102874165002,0.35926808886684064,0.0009185664666494036
6,9.0,0.18852237775622227,0.3709472925866699,0.0008841919993438941
6,10.0,0.17977014768642535,0.3846460581760231,0.0008446896107450232
6,11.0,0.17015532355173105,0.3952776941421708,0.0008005935028928791
6,12.0,0.1616710032464214,0.40151612786786034,0.0007524999999999999
6,13.0,0.1533088616847922,0.4096633748326749,0.0007010594841893826
7,1.0,0.3077176673563919,0.39440579510533463,0.0006666666666666666
7,2.0,0.23606171058062544,0.3223428164397563,0.001
7,3.0,0.22595231230233775,0.3073611199356831,0.001
7,4.0,0.2179278295493719,0.3030676216204598,0.0009966529870822618
7,5.0,0.2134461319882476,0.3031579349955467,0.0009866572109370128
7,6.0,0.21215392758376517,0.3024566312358804,0.0009701478472890247
7,7.0,0.20768918244794973,0.30701980702408915,0.0009473481569600891
7,8.0,0.20145428237018648,0.30770322807484746,0.0009185664666494036
7,9.0,0.1935455805888635,0.3130455280865346,0.0008841919993438941
7,10.0,0.18511513503809976,0.31909129885415144,0.0008446896107450232
7,11.0,0.1754996319988859,0.3265363884412172,0.0008005935028928791
7,12.0,0.1630855115522359,0.3352876721996151,0.0007524999999999999
7,13.0,0.15083209609799603,0.3433749670307386,0.0007010594841893826
7,14.0,0.14398004345578985,0.352609077340936,0.0006469676001919897
8,1.0,0.29782659320898175,0.29540368657753957,0.0006666666666666666
8,2.0,0.23228118630756062,0.2303137948737751,0.001
8,3.0,0.22118299413886214,0.21708679175169104,0.001
8,4.0,0.21490312945330595,0.21916873299013498,0.0009966529870822618
8,5.0,0.20828135481437487,0.21819638119850565,0.0009866572109370128
8,6.0,0.20364686666930243,0.22301435080976775,0.0009701478472890247
8,7.0,0.198023116996629,0.2299445842494753,0.0009473481569600891
8,8.0,0.19140540327937888,0.23793482307159491,0.0009185664666494036
8,9.0,0.18359921069085577,0.2507555147307084,0.0008841919993438941
8,10.0,0.1737985957564533,0.258347555619813,0.0008446896107450232
8,11.0,0.16316448456135096,0.267105507169561,0.0008005935028928791
9,1.0,0.2913056709815996,0.4105413590460446,0.0006666666666666666
9,2.0,0.23175236481902864,0.36416395571757487,0.001
9,3.0,0.21962377632171456,0.35352588990541894,0.001
9,4.0,0.2132055714954651,0.3514429282887312,0.0009966529870822618
9,5.0,0.20665377296685272,0.3561339899981384,0.0009866572109370128
9,6.0,0.20128110882049333,0.3572640289605938,0.0009701478472890247
9,7.0,0.19417888591982368,0.36373307365668506,0.0009473481569600891
9,8.0,0.18713812940597802,0.37336656746231395,0.0009185664666494036
9,9.0,0.1786842971290367,0.3860897882783909,0.0008841919993438941
9,10.0,0.16926100180201573,0.399954479041062,0.0008446896107450232
9,11.0,0.16038463740635034,0.40545903218342294,0.0008005935028928791
9,12.0,0.15015872218096626,0.41523598776491205,0.0007524999999999999
10,1.0,0.2984647656270508,0.31679552740596323,0.0006666666666666666
10,2.0,0.22823232496245902,0.2450594990681891,0.001
10,3.0,0.21691769408911926,0.23171418496979837,0.001
10,4.0,0.20880984807078926,0.22712845761179823,0.0009966529870822618
10,5.0,0.20423761581485755,0.22854892767527818,0.0009866572109370128
10,6.0,0.19893663483139432,0.23337560649533864,0.0009701478472890247
10,7.0,0.19376928266142682,0.23874671498927774,0.0009473481569600891
10,8.0,0.18708397979400512,0.24376146428210912,0.0009185664666494036
10,9.0,0.1793244077772195,0.24983685838379585,0.0008841919993438941
10,10.0,0.1701184274019692,0.26329375671953076,0.0008446896107450232
10,11.0,0.1620890620164428,0.2773455773899651,0.0008005935028928791
10,12.0,0.15027938646964137,0.29082282842094026,0.0007524999999999999
11,1.0,0.2870778434249867,0.41444122518074394,0.0006666666666666666
11,2.0,0.22253664800989417,0.35996960535963957,0.001
11,3.0,0.212687990873579,0.3475569750279758,0.001
11,4.0,0.20527272775950106,0.3384786864870445,0.0009966529870822618
11,5.0,0.20177168722023595,0.3386032180892067,0.0009866572109370128
11,6.0,0.19688796701829753,0.3402560986201326,0.0009701478472890247
11,7.0,0.1911218786940855,0.3468103904624892,0.0009473481569600891
11,8.0,0.18583784798641945,0.3509528827010177,0.0009185664666494036
11,9.0,0.1786429703792159,0.35818636896773853,0.0008841919993438941
11,10.0,0.17016162166909343,0.36785896491213244,0.0008446896107450232
11,11.0,0.16185761050405512,0.3741046076617439,0.0008005935028928791
11,12.0,0.15313657149324675,0.38467693833384925,0.0007524999999999999
12,1.0,0.2808072849132037,0.2881084427585469,0.0006666666666666666
12,2.0,0.21427310192577992,0.25838276895281237,0.001
12,3.0,0.1998066511111777,0.25722023834951685,0.001
12,4.0,0.1915289524677104,0.2581576339927964,0.0009966529870822618
12,5.0,0.18504811012154718,0.26211185874825665,0.0009866572109370128
12,6.0,0.1813675154161444,0.26467694729774127,0.0009701478472890247
