step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_fusion_gate_cgm,fold1/diag_fusion_gate_cgm_guided,fold1/diag_fusion_gate_physio,fold1/diag_horizon_query_similarity,fold1/diag_horizon_progressive_gate,fold1/diag_horizon_attention_similarity,fold1/diag_horizon_attention_entropy,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.2501833496446976,12.485247611999512,19.355358123779297,9.51667308807373,0.2769365906715393,0.6149001717567444,87.14083099365234,18439.0,12.859169006347656,2721.0,0.0,0.0,0.0,0.0,0.0,0.0,7.083756923675537,10.773646354675293,5.466534614562988,0.7759243249893188,0.8843472003936768,97.10774993896484,5137.0,2.892249345779419,153.0,0.0,0.0,0.0,0.0,0.0,0.0,11.802115440368652,17.953269958496094,9.018224716186523,0.37778085470199585,0.6700683236122131,88.18525695800781,4665.0,11.81474494934082,625.0,0.0,0.0,0.0,0.0,0.0,0.0,14.707216262817383,21.963027954101562,11.172804832458496,0.06906908750534058,0.49791842699050903,82.91114807128906,4386.0,17.08884620666504,904.0,0.0,0.0,0.0,0.0,0.0,0.0,16.347902297973633,24.03650665283203,12.409126281738281,-0.11475777626037598,0.39064928889274597,80.35916900634766,4251.0,19.640830993652344,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22844268381595612,0.6532118320465088,0.11834552139043808,0.042416345328092575,0.11920291930437088,0.9998649954795837,0.9999521970748901,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.2438285032407092,12.423567771911621,19.12902069091797,9.428094863891602,0.29374831914901733,0.6181396842002869,87.99622344970703,18620.0,12.00378131866455,2540.0,0.0,0.0,0.0,0.0,0.0,0.0,7.131202697753906,10.754948616027832,5.480566024780273,0.7767014503479004,0.8854300379753113,97.18336486816406,5141.0,2.8166351318359375,149.0,0.0,0.0,0.0,0.0,0.0,0.0,11.795981407165527,17.787662506103516,8.968157768249512,0.38920700550079346,0.6719746589660645,89.26275634765625,4722.0,10.737239837646484,568.0,0.0,0.0,0.0,0.0,0.0,0.0,14.590673446655273,21.656063079833984,11.040430068969727,0.09490936994552612,0.500742495059967,83.98866271972656,4443.0,16.011343002319336,847.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17641830444336,23.719675064086914,12.223228454589844,-0.08556365966796875,0.39028820395469666,81.55009460449219,4314.0,18.449905395507812,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285684496164322,0.6630797386169434,0.10835176706314087,0.062480926513671875,0.11920291930437088,0.9912660717964172,0.9944958686828613,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.24244554399740204,12.473714828491211,19.07624053955078,9.481406211853027,0.2976403832435608,0.616664707660675,87.99622344970703,18620.0,12.00378131866455,2540.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16248083114624,10.750139236450195,5.506549835205078,0.776901125907898,0.8854226469993591,97.2211685180664,5143.0,2.7788279056549072,147.0,0.0,0.0,0.0,0.0,0.0,0.0,11.868106842041016,17.748027801513672,9.036521911621094,0.3919258713722229,0.6701485514640808,89.28166961669922,4723.0,10.718337059020996,567.0,0.0,0.0,0.0,0.0,0.0,0.0,14.618049621582031,21.570587158203125,11.080854415893555,0.1020401120185852,0.4982317388057709,83.81852722167969,4434.0,16.181474685668945,856.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2462215423584,23.659324645996094,12.301703453063965,-0.0800466537475586,0.38491934537887573,81.66351318359375,4320.0,18.336483001708984,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24148382246494293,0.5860979557037354,0.17241834104061127,0.0867551863193512,0.11920291930437088,0.9839486479759216,0.9852266311645508,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.24233513943314922,12.410473823547363,18.97666358947754,9.442238807678223,0.30495381355285645,0.6184020042419434,88.0434799194336,18630.0,11.956521987915039,2530.0,0.0,0.0,0.0,0.0,0.0,0.0,7.046356678009033,10.6246337890625,5.423579216003418,0.7820799350738525,0.8877348899841309,97.2211685180664,5143.0,2.7788279056549072,147.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7959566116333,17.648399353027344,8.991192817687988,0.3987336754798889,0.6720011830329895,89.33837127685547,4726.0,10.661625862121582,564.0,0.0,0.0,0.0,0.0,0.0,0.0,14.572301864624023,21.464122772216797,11.054045677185059,0.1108822226524353,0.4984428286552429,84.1587905883789,4452.0,15.841209411621094,838.0,0.0,0.0,0.0,0.0,0.0,0.0,16.227279663085938,23.566875457763672,12.300134658813477,-0.07162249088287354,0.38405969738960266,81.45557403564453,4309.0,18.544424057006836,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20835086703300476,0.5921520590782166,0.19949719309806824,0.10376087576150894,0.11920291930437088,0.9955140948295593,0.9795970916748047,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.23982196192739963,12.229741096496582,18.682119369506836,9.318521499633789,0.3263624906539917,0.6264190673828125,88.33648681640625,18692.0,11.6635160446167,2468.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67281436920166,9.965215682983398,5.16834020614624,0.808290958404541,0.9009100198745728,97.76937103271484,5172.0,2.230623722076416,118.0,0.0,0.0,0.0,0.0,0.0,0.0,11.618820190429688,17.276695251464844,8.880456924438477,0.4237942099571228,0.6825842261314392,89.71644592285156,4746.0,10.283554077148438,544.0,0.0,0.0,0.0,0.0,0.0,0.0,14.492311477661133,21.264902114868164,10.998106956481934,0.12731051445007324,0.5022333264350891,84.40453338623047,4465.0,15.595462799072266,825.0,0.0,0.0,0.0,0.0,0.0,0.0,16.135025024414062,23.36879539489746,12.22718334197998,-0.053684234619140625,0.3850065767765045,81.45557403564453,4309.0,18.544424057006836,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24639883637428284,0.5214259624481201,0.23217527568340302,0.11843623965978622,0.11920291930437088,0.9951684474945068,0.9609370827674866,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.2334475262016192,12.087096214294434,18.55848503112793,9.16997241973877,0.33524900674819946,0.6379665732383728,88.55387878417969,18738.0,11.446125030517578,2422.0,0.0,0.0,0.0,0.0,0.0,0.0,6.241304874420166,9.260726928710938,4.810995101928711,0.8344384431838989,0.9174011945724487,98.35539245605469,5203.0,1.644612431526184,87.0,0.0,0.0,0.0,0.0,0.0,0.0,11.422765731811523,17.00164031982422,8.693375587463379,0.4419952630996704,0.699966311454773,90.05670928955078,4764.0,9.943289756774902,526.0,0.0,0.0,0.0,0.0,0.0,0.0,14.486186981201172,21.271099090576172,10.952659606933594,0.12680166959762573,0.5079708695411682,84.34782409667969,4462.0,15.65217399597168,828.0,0.0,0.0,0.0,0.0,0.0,0.0,16.198123931884766,23.460451126098633,12.222860336303711,-0.06196582317352295,0.38337644934654236,81.45557403564453,4309.0,18.544424057006836,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25865885615348816,0.45002520084381104,0.2913159728050232,0.14510579407215118,0.11920291930437088,0.9972381591796875,0.9340356588363647,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.2289656522031137,11.9999418258667,18.448741912841797,9.112963676452637,0.3430876135826111,0.6438149809837341,88.5302505493164,18733.0,11.469754219055176,2427.0,0.0,0.0,0.0,0.0,0.0,0.0,5.960383892059326,8.855549812316895,4.61364221572876,0.8486089110374451,0.924027144908905,98.65784454345703,5219.0,1.3421549797058105,71.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24319076538086,16.71460723876953,8.5741548538208,0.46067744493484497,0.7106754183769226,90.07561492919922,4765.0,9.924386024475098,525.0,0.0,0.0,0.0,0.0,0.0,0.0,14.468804359436035,21.194965362548828,10.947072982788086,0.13304126262664795,0.5131579041481018,84.57466888427734,4474.0,15.42533016204834,816.0,0.0,0.0,0.0,0.0,0.0,0.0,16.327388763427734,23.545673370361328,12.316985130310059,-0.06969523429870605,0.3837013244628906,80.81285095214844,4275.0,19.187145233154297,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24611027538776398,0.4314502477645874,0.3224395513534546,0.1571432203054428,0.11920291930437088,0.9953643679618835,0.9316385984420776,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.22531489816010683,12.100663185119629,18.470739364624023,9.171981811523438,0.3415200114250183,0.6461783647537231,88.5066146850586,18728.0,11.49338436126709,2432.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893255233764648,8.552875518798828,4.577946662902832,0.8587808609008789,0.9301708340644836,98.94139862060547,5234.0,1.0586011409759521,56.0,0.0,0.0,0.0,0.0,0.0,0.0,11.305607795715332,16.62192153930664,8.611928939819336,0.4666421413421631,0.7170539498329163,90.34026336669922,4779.0,9.659734725952148,511.0,0.0,0.0,0.0,0.0,0.0,0.0,14.64747428894043,21.279664993286133,11.05684757232666,0.12609827518463135,0.5104119777679443,84.1587905883789,4452.0,15.841209411621094,838.0,0.0,0.0,0.0,0.0,0.0,0.0,16.556312561035156,23.71516227722168,12.441205024719238,-0.08515071868896484,0.37525132298469543,80.58601379394531,4263.0,19.41398811340332,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2370244413614273,0.4483669102191925,0.31460872292518616,0.17823375761508942,0.11920291930437088,0.9929997324943542,0.9188528060913086,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.22363361974539347,12.077351570129395,18.39255714416504,9.150315284729004,0.3470827341079712,0.649175763130188,88.54914855957031,18737.0,11.450851440429688,2423.0,0.0,0.0,0.0,0.0,0.0,0.0,5.821855068206787,8.412513732910156,4.520834445953369,0.8633779287338257,0.9323210716247559,98.94139862060547,5234.0,1.0586011409759521,56.0,0.0,0.0,0.0,0.0,0.0,0.0,11.301458358764648,16.52366065979004,8.606196403503418,0.4729294776916504,0.7209823727607727,90.5103988647461,4788.0,9.489603042602539,502.0,0.0,0.0,0.0,0.0,0.0,0.0,14.625187873840332,21.2037410736084,11.038081169128418,0.13232308626174927,0.5136622190475464,84.38563537597656,4464.0,15.61436653137207,826.0,0.0,0.0,0.0,0.0,0.0,0.0,16.56090545654297,23.658910751342773,12.436149597167969,-0.080008864402771,0.3762066662311554,80.35916900634766,4251.0,19.640830993652344,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2401408702135086,0.41354769468307495,0.3463115394115448,0.19818593561649323,0.11920291930437088,0.9928295016288757,0.9207845330238342,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.22095409812875236,12.390312194824219,18.738027572631836,9.392072677612305,0.32232457399368286,0.639441728591919,87.90642547607422,18601.0,12.088847160339355,2558.0,0.0047258976846933365,1.0,0.0,0.0,0.0,0.0,5.923173904418945,8.440964698791504,4.603886127471924,0.8624522686004639,0.9324622750282288,99.05481719970703,5240.0,0.9451796412467957,50.0,0.0,0.0,0.0,0.0,0.0,0.0,11.550315856933594,16.754953384399414,8.79874038696289,0.4580705761909485,0.7154878377914429,90.62381744384766,4794.0,9.376181602478027,496.0,0.0,0.0,0.0,0.0,0.0,0.0,15.005661010742188,21.610563278198242,11.327073097229004,0.09870868921279907,0.4990237355232239,83.19470977783203,4401.0,16.786388397216797,888.0,0.018903590738773346,1.0,0.0,0.0,0.0,0.0,17.082094192504883,24.19628143310547,12.838594436645508,-0.12962698936462402,0.3554219603538513,78.75236511230469,4166.0,21.247636795043945,1124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23858730494976044,0.4415706396102905,0.31984207034111023,0.20356284081935883,0.11920291930437088,0.9927453994750977,0.925614058971405,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
