step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_r2,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_r2,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_r2,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_r2,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_r2,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count
1,0.26646100134209183,12.507697105407715,19.30373764038086,9.570523262023926,0.2807883024215698,87.23062133789062,18458.0,12.764650344848633,2701.0,0.0047258976846933365,1.0,0.0,0.0,0.0,0.0,7.056024074554443,10.74195384979248,5.447851657867432,0.7772406935691833,97.01323699951172,5132.0,2.986767530441284,158.0,0.0,0.0,0.0,0.0,0.0,0.0,11.840843200683594,17.8721923828125,9.068283081054688,0.38338810205459595,88.29867553710938,4671.0,11.701323509216309,619.0,0.0,0.0,0.0,0.0,0.0,0.0,14.773523330688477,21.89495086669922,11.26374626159668,0.07483118772506714,83.08128356933594,4395.0,16.91871452331543,895.0,0.0,0.0,0.0,0.0,0.0,0.0,16.360401153564453,24.007152557373047,12.502212524414062,-0.1120368242263794,80.52930450439453,4260.0,19.45179557800293,1029.0,0.018903590738773346,1.0,0.0,0.0,0.0,0.0
2,0.25732072973101033,12.279330253601074,18.947078704833984,9.430960655212402,0.30711930990219116,87.5141830444336,18518.0,12.485822677612305,2642.0,0.0,0.0,0.0,0.0,0.0,0.0,6.939816474914551,10.540633201599121,5.37337589263916,0.7855122089385986,97.01323699951172,5132.0,2.986767530441284,158.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5939302444458,17.557851791381836,8.909786224365234,0.4048876166343689,88.63894653320312,4689.0,11.361059188842773,601.0,0.0,0.0,0.0,0.0,0.0,0.0,14.454344749450684,21.466054916381836,11.103821754455566,0.11072218418121338,83.23251342773438,4403.0,16.767484664916992,887.0,0.0,0.0,0.0,0.0,0.0,0.0,16.12923240661621,23.575252532958984,12.336860656738281,-0.07238459587097168,81.17202758789062,4294.0,18.827978134155273,996.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.2535038206696117,12.518599510192871,18.985986709594727,9.506366729736328,0.3042706847190857,88.18525695800781,18660.0,11.81474494934082,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5345354080200195,9.632993698120117,5.082286357879639,0.8208603262901306,97.95841217041016,5182.0,2.041588068008423,108.0,0.0,0.0,0.0,0.0,0.0,0.0,11.946337699890137,17.48519515991211,9.089317321777344,0.4098026752471924,89.71644592285156,4746.0,10.283554077148438,544.0,0.0,0.0,0.0,0.0,0.0,0.0,14.966391563415527,21.75412368774414,11.30436897277832,0.08669418096542358,84.00756072998047,4444.0,15.992439270019531,846.0,0.0,0.0,0.0,0.0,0.0,0.0,16.627134323120117,23.87681007385254,12.549495697021484,-0.09999442100524902,81.05860137939453,4288.0,18.94139862060547,1002.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.24813998826604866,12.865836143493652,19.25661849975586,9.71332836151123,0.2842949628829956,87.98204040527344,18617.0,12.017958641052246,2543.0,0.0,0.0,0.0,0.0,0.0,0.0,7.084492206573486,10.436756134033203,5.449246883392334,0.7897188663482666,97.58033752441406,5162.0,2.4196596145629883,128.0,0.0,0.0,0.0,0.0,0.0,0.0,11.777441024780273,17.48988151550293,8.958107948303223,0.4094862937927246,89.14933776855469,4716.0,10.850662231445312,574.0,0.0,0.0,0.0,0.0,0.0,0.0,15.332408905029297,21.86275291442871,11.523073196411133,0.07755029201507568,84.23440551757812,4456.0,15.765595436096191,834.0,0.0,0.0,0.0,0.0,0.0,0.0,17.269001007080078,24.299543380737305,12.92288875579834,-0.13928937911987305,80.96408081054688,4283.0,19.035917282104492,1007.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.24495715959513734,12.739145278930664,18.70039939880371,9.675934791564941,0.32504355907440186,88.4735336303711,18721.0,11.526464462280273,2439.0,0.0,0.0,0.0,0.0,0.0,0.0,6.862771511077881,9.659652709960938,5.299324989318848,0.8198674321174622,98.2419662475586,5197.0,1.7580339908599854,93.0,0.0,0.0,0.0,0.0,0.0,0.0,12.618135452270508,17.53742218017578,9.58691120147705,0.40627169609069824,89.90547943115234,4756.0,10.094518661499023,534.0,0.0,0.0,0.0,0.0,0.0,0.0,15.117386817932129,21.35256576538086,11.440990447998047,0.12010031938552856,84.34782409667969,4462.0,15.65217399597168,828.0,0.0,0.0,0.0,0.0,0.0,0.0,16.35828971862793,23.281272888183594,12.376516342163086,-0.0458064079284668,81.39886474609375,4306.0,18.60113525390625,984.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.23961762476585344,12.508320808410645,18.953161239624023,9.415996551513672,0.30667442083358765,87.90170288085938,18600.0,12.098299026489258,2560.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3878679275512695,9.274758338928223,4.95097541809082,0.8339363932609558,98.31758117675781,5201.0,1.6824196577072144,89.0,0.0,0.0,0.0,0.0,0.0,0.0,11.804754257202148,17.309968948364258,8.916289329528809,0.42157262563705444,89.64083099365234,4742.0,10.35916805267334,548.0,0.0,0.0,0.0,0.0,0.0,0.0,15.012679100036621,21.70282554626465,11.228017807006836,0.09099644422531128,83.68620300292969,4427.0,16.313800811767578,863.0,0.0,0.0,0.0,0.0,0.0,0.0,16.82798194885254,24.08776092529297,12.56870174407959,-0.11951696872711182,79.96219635009766,4230.0,20.03780746459961,1060.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.23521014503306314,12.36937141418457,18.63729476928711,9.342527389526367,0.32959115505218506,87.93006134033203,18606.0,12.06994342803955,2554.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08112907409668,8.973073959350586,4.739211559295654,0.8445639610290527,98.2419662475586,5197.0,1.7580339908599854,93.0,0.0,0.0,0.0,0.0,0.0,0.0,11.590365409851074,16.83070945739746,8.803990364074707,0.45315903425216675,90.37806701660156,4781.0,9.621928215026855,509.0,0.0,0.0,0.0,0.0,0.0,0.0,14.946232795715332,21.415145874023438,11.222167015075684,0.11493521928787231,83.4404525756836,4414.0,16.559545516967773,876.0,0.0,0.0,0.0,0.0,0.0,0.0,16.85975456237793,23.811716079711914,12.604740142822266,-0.09400486946105957,79.65973663330078,4214.0,20.34026527404785,1076.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2322315431704073,12.584029197692871,18.776927947998047,9.49454116821289,0.3195079565048218,88.02930450439453,18627.0,11.970699310302734,2533.0,0.0,0.0,0.0,0.0,0.0,0.0,6.349164962768555,8.823772430419922,4.967808246612549,0.8496934771537781,98.65784454345703,5219.0,1.3421549797058105,71.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67072868347168,16.781291961669922,8.877684593200684,0.4563654065132141,90.28355407714844,4776.0,9.716445922851562,514.0,0.0,0.0,0.0,0.0,0.0,0.0,15.272483825683594,21.726938247680664,11.439986228942871,0.08897548913955688,83.19470977783203,4401.0,16.8052921295166,889.0,0.0,0.0,0.0,0.0,0.0,0.0,17.04374122619629,24.057464599609375,12.692682266235352,-0.11670255661010742,79.98109436035156,4231.0,20.018903732299805,1059.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.22997604517783773,12.015607833862305,18.30350112915039,9.087348937988281,0.353390097618103,88.3742904663086,18700.0,11.62570858001709,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,5.844512939453125,8.625025749206543,4.5471978187561035,0.8563882112503052,98.6956558227539,5221.0,1.3043477535247803,69.0,0.0,0.0,0.0,0.0,0.0,0.0,11.038593292236328,16.36042594909668,8.412193298339844,0.4832916855812073,90.43478393554688,4784.0,9.565217018127441,506.0,0.0,0.0,0.0,0.0,0.0,0.0,14.403617858886719,20.83574104309082,10.8652982711792,0.1621795892715454,84.57466888427734,4474.0,15.42533016204834,816.0,0.0,0.0,0.0,0.0,0.0,0.0,16.775705337524414,23.746366500854492,12.524707794189453,-0.08800828456878662,79.79206085205078,4221.0,20.20793914794922,1069.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.22854866684497113,11.750845909118652,18.080245971679688,9.007336616516113,0.369067907333374,88.27031707763672,18678.0,11.7296781539917,2482.0,0.0,0.0,0.0,0.0,0.0,0.0,6.021905422210693,8.852344512939453,4.7211456298828125,0.848718523979187,98.3742904663086,5204.0,1.625708818435669,86.0,0.0,0.0,0.0,0.0,0.0,0.0,11.067605018615723,16.51106834411621,8.533222198486328,0.4737324118614197,90.07561492919922,4765.0,9.924386024475098,525.0,0.0,0.0,0.0,0.0,0.0,0.0,14.110045433044434,20.780582427978516,10.764444351196289,0.16660970449447632,84.08317565917969,4448.0,15.916824340820312,842.0,0.0,0.0,0.0,0.0,0.0,0.0,15.803828239440918,22.907840728759766,12.010534286499023,-0.01252591609954834,80.54820251464844,4261.0,19.45179557800293,1029.0,0.0,0.0,0.0,0.0,0.0,0.0
