fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,87.72317109699361,0.029108759481459856,0.015871733632202758,14020,11.932167053222656,14.562350273132324,11.440220832824707,11.440220832824707,0.18561500310897827,0.507152795791626,87.02290344238281,12.868048667907715,0.0,0.10905124992132187,0.0
2,002,108.79675841215067,0.3905828013084829,0.21331665827880006,14020,16.561424255371094,21.662755966186523,12.257427215576172,12.257427215576172,-0.18709731101989746,0.4282057285308838,80.66630554199219,19.333698272705078,0.0,0.0,0.0
3,003,103.59394730906934,0.027476326562464237,0.022194124848517155,14020,13.201043128967285,19.277542114257812,12.09542179107666,12.09542179107666,-0.14243268966674805,0.09320748597383499,81.42164611816406,18.012924194335938,0.0,0.5654280781745911,0.0
4,004,69.3308674748987,0.020901479059830308,0.016496826408705846,14020,13.34399700164795,18.622880935668945,11.875909805297852,11.875909805297852,0.08077257871627808,0.3148883283138275,78.92659759521484,20.91554832458496,0.0,0.15785318613052368,0.0
5,005,106.67002608301118,0.04252735571935773,0.01939231906947457,14020,12.228232383728027,15.972346305847168,12.340690612792969,12.340690612792969,-0.11341691017150879,0.3586346507072449,77.38258361816406,22.571819305419922,0.0,0.04559963569045067,0.0
6,006,142.6351887760684,0.038912676740437746,0.025684935142203134,14020,15.963150024414062,23.529727935791016,12.005749702453613,12.005749702453613,0.1578589677810669,0.4575244188308716,80.0,20.0,0.0,0.0,0.0
7,007,107.87078780587763,0.09302451531402767,0.04748571481063178,14020,13.875776290893555,18.46171760559082,15.571555137634277,15.571555137634277,-0.00023186206817626953,0.36413198709487915,70.29096221923828,24.553342819213867,0.0,5.155691623687744,0.0
8,008,66.34402046818286,0.034584786510095,0.018107218068112566,14020,10.925149917602539,15.170584678649902,10.09207820892334,10.09207820892334,0.2890041470527649,0.5413385033607483,85.91622924804688,12.670156478881836,0.0,1.4136124849319458,0.0
9,009,90.87909831898287,0.045179038774222136,0.02181508390836414,14020,21.948793411254883,70.7815933227539,16.506235122680664,16.506235122680664,-8.393343925476074,0.09372186660766602,85.03138732910156,13.375181198120117,1.593433141708374,0.0,0.0
10,010,51.124812457943335,0.03232583496719599,0.016960039332211956,14020,17.818090438842773,28.36048698425293,15.659443855285645,15.659443855285645,0.07158529758453369,0.31263771653175354,73.55718994140625,23.871984481811523,0.0,2.570828914642334,0.0
11,011,94.43477822397836,0.15035675186663866,0.07045770940329835,14020,15.277057647705078,20.365522384643555,12.540271759033203,12.540271759033203,0.28200167417526245,0.5341704487800598,79.47516632080078,20.52483558654785,0.0,0.0,0.0
12,012,65.16420287895016,0.030974590918049216,0.01733329094462743,14020,14.020499229431152,19.44053077697754,11.321537971496582,11.321537971496582,-0.033522844314575195,0.2551650404930115,84.33128356933594,15.668718338012695,0.0,0.0,0.0
13,013,100.20336506608874,0.04834010312333703,0.02486630819101699,14020,17.430469512939453,24.98427391052246,12.594117164611816,12.594117164611816,-0.23708105087280273,0.2710954248905182,80.65843200683594,19.341564178466797,0.0,0.0,0.0
14,014,40.170322745107114,0.03815855644643307,0.02717845900743096,14020,15.049690246582031,21.753915786743164,12.126668930053711,12.126668930053711,0.018196702003479004,0.25716111063957214,79.77207946777344,20.156694412231445,0.0,0.07122506946325302,0.0
15,015,81.84881888190284,0.008601309033110738,0.02245772593501498,14020,16.071758270263672,22.83159065246582,14.003199577331543,14.003199577331543,-1.4846854209899902,-0.1602144092321396,73.89034271240234,26.10965919494629,0.0,0.0,0.0
16,016,118.63744827685878,0.03879461530596018,0.022372903867335744,14020,13.535765647888184,17.80145835876465,12.46352481842041,12.46352481842041,-0.13602185249328613,0.1705707460641861,79.00807189941406,20.991926193237305,0.0,0.0,0.0
