fold,test_subject,train_time_seconds,inference_time_seconds,inference_ms_per_sample,parameter_count,mae,rmse,mard,mape,r2,pearson,ega_zone_a_pct,ega_zone_b_pct,ega_zone_c_pct,ega_zone_d_pct,ega_zone_e_pct
1,001,1703.3679197030142,1.4860531082376838,0.8102797754840152,125249,7.772373199462891,11.156895637512207,7.255345344543457,7.255345344543457,0.51495760679245,0.7251090407371521,93.72955322265625,6.161396026611328,0.0,0.10905124992132187,0.0
2,002,1275.489919952117,2.029934568796307,1.1086480441268742,125249,11.129837036132812,15.623069763183594,8.632168769836426,8.632168769836426,0.3779180645942688,0.6621391773223877,91.15237426757812,8.847623825073242,0.0,0.0,0.0
3,003,962.4772203410976,1.0196005352772772,0.8235868620979622,125249,8.4175443649292,13.206356048583984,7.568286418914795,7.568286418914795,0.4703484773635864,0.689209520816803,91.76090240478516,7.7544426918029785,0.0,0.48465266823768616,0.0
4,004,1634.1656819100026,1.074107050895691,0.8477561569816029,125249,8.704107284545898,12.458931922912598,7.6219000816345215,7.6219000816345215,0.5787460803985596,0.7647845149040222,92.10733795166016,7.734807014465332,0.0,0.15785318613052368,0.0
5,005,1527.7410021559335,3.2907276216428727,1.500559790990822,125249,7.323282241821289,10.164525985717773,7.085278511047363,7.085278511047363,0.5520672798156738,0.7592315673828125,96.12403106689453,3.8759689331054688,0.0,0.0,0.0
6,006,1263.0991728638764,1.6577160621527582,1.0942020212229426,125249,9.679694175720215,14.80396556854248,7.450894832611084,7.450894832611084,0.6675502061843872,0.8255335688591003,92.27722930908203,7.722772121429443,0.0,0.0,0.0
7,007,1389.3872941390146,1.8807755773887038,0.9600692074470157,125249,9.257022857666016,12.565447807312012,10.366113662719727,10.366113662719727,0.536893367767334,0.7784554362297058,86.06432342529297,9.800919532775879,0.0,4.134762763977051,0.0
8,008,933.7625532660168,1.5041387798264623,0.7875072145688284,125249,9.574610710144043,13.535651206970215,8.791891098022461,8.791891098022461,0.4385145902633667,0.6789234280586243,89.31937408447266,9.790575981140137,0.0,0.890052318572998,0.0
9,009,854.0360770949628,1.919714699499309,0.9269506033313902,125249,9.672686576843262,14.642212867736816,7.197702884674072,7.197702884674072,0.5976680517196655,0.7994775772094727,92.75712585449219,7.242877960205078,0.0,0.0,0.0
10,010,1011.3371964229736,1.6011682979296893,0.840067312659858,125249,12.186185836791992,18.657493591308594,10.781415939331055,10.781415939331055,0.6014316082000732,0.7775843143463135,84.41763305664062,13.850996971130371,0.0,1.7313746213912964,0.0
11,011,1050.200560592115,1.8433649712242186,0.8638073904518363,125249,9.76301097869873,13.971954345703125,7.921873092651367,7.921873092651367,0.6636195182800293,0.8182293772697449,93.39268493652344,6.6073102951049805,0.0,0.0,0.0
12,012,1749.4817584399134,3.284221249166876,1.8378406542623817,125249,8.36791706085205,13.151494026184082,6.577365875244141,6.577365875244141,0.5302450060844421,0.7351072430610657,93.28483581542969,6.715165138244629,0.0,0.0,0.0
13,013,1990.1136326268315,2.366155622061342,1.2171582418011018,125249,9.462968826293945,15.3772554397583,7.024623394012451,7.024623394012451,0.5317966938018799,0.7460042238235474,92.64403533935547,7.355967044830322,0.0,0.0,0.0
14,014,1402.7239171080291,1.7284553018398583,1.231093519828959,125249,10.127388954162598,15.557500839233398,8.251138687133789,8.251138687133789,0.4810817837715149,0.7020805478096008,90.31339263916016,9.615385055541992,0.0,0.07122506946325302,0.0
15,015,2111.9682412049733,0.6055862861685455,1.5811652380379777,125249,6.969640731811523,10.09581184387207,6.477285861968994,6.477285861968994,0.5275174379348755,0.737856388092041,95.82245635986328,3.6553523540496826,0.0,0.522193193435669,0.0
16,016,2042.4981506590266,5.4832047952804714,3.1621711622148045,125249,11.023796081542969,15.41008472442627,10.132108688354492,10.132108688354492,0.17218655347824097,0.5280596017837524,86.15917205810547,13.72549057006836,0.0,0.11534024775028229,0.0
