step,fold1/train_loss,fold1/val_mae,fold1/val_rmse,fold1/val_mard,fold1/val_mape,fold1/val_r2,fold1/val_pearson,fold1/val_ega_zone_a_pct,fold1/val_ega_zone_a_count,fold1/val_ega_zone_b_pct,fold1/val_ega_zone_b_count,fold1/val_ega_zone_c_pct,fold1/val_ega_zone_c_count,fold1/val_ega_zone_d_pct,fold1/val_ega_zone_d_count,fold1/val_ega_zone_e_pct,fold1/val_ega_zone_e_count,fold1/val_horizon_15_mae,fold1/val_horizon_15_rmse,fold1/val_horizon_15_mard,fold1/val_horizon_15_mape,fold1/val_horizon_15_r2,fold1/val_horizon_15_pearson,fold1/val_horizon_15_ega_zone_a_pct,fold1/val_horizon_15_ega_zone_a_count,fold1/val_horizon_15_ega_zone_b_pct,fold1/val_horizon_15_ega_zone_b_count,fold1/val_horizon_15_ega_zone_c_pct,fold1/val_horizon_15_ega_zone_c_count,fold1/val_horizon_15_ega_zone_d_pct,fold1/val_horizon_15_ega_zone_d_count,fold1/val_horizon_15_ega_zone_e_pct,fold1/val_horizon_15_ega_zone_e_count,fold1/val_horizon_30_mae,fold1/val_horizon_30_rmse,fold1/val_horizon_30_mard,fold1/val_horizon_30_mape,fold1/val_horizon_30_r2,fold1/val_horizon_30_pearson,fold1/val_horizon_30_ega_zone_a_pct,fold1/val_horizon_30_ega_zone_a_count,fold1/val_horizon_30_ega_zone_b_pct,fold1/val_horizon_30_ega_zone_b_count,fold1/val_horizon_30_ega_zone_c_pct,fold1/val_horizon_30_ega_zone_c_count,fold1/val_horizon_30_ega_zone_d_pct,fold1/val_horizon_30_ega_zone_d_count,fold1/val_horizon_30_ega_zone_e_pct,fold1/val_horizon_30_ega_zone_e_count,fold1/val_horizon_45_mae,fold1/val_horizon_45_rmse,fold1/val_horizon_45_mard,fold1/val_horizon_45_mape,fold1/val_horizon_45_r2,fold1/val_horizon_45_pearson,fold1/val_horizon_45_ega_zone_a_pct,fold1/val_horizon_45_ega_zone_a_count,fold1/val_horizon_45_ega_zone_b_pct,fold1/val_horizon_45_ega_zone_b_count,fold1/val_horizon_45_ega_zone_c_pct,fold1/val_horizon_45_ega_zone_c_count,fold1/val_horizon_45_ega_zone_d_pct,fold1/val_horizon_45_ega_zone_d_count,fold1/val_horizon_45_ega_zone_e_pct,fold1/val_horizon_45_ega_zone_e_count,fold1/val_horizon_60_mae,fold1/val_horizon_60_rmse,fold1/val_horizon_60_mard,fold1/val_horizon_60_mape,fold1/val_horizon_60_r2,fold1/val_horizon_60_pearson,fold1/val_horizon_60_ega_zone_a_pct,fold1/val_horizon_60_ega_zone_a_count,fold1/val_horizon_60_ega_zone_b_pct,fold1/val_horizon_60_ega_zone_b_count,fold1/val_horizon_60_ega_zone_c_pct,fold1/val_horizon_60_ega_zone_c_count,fold1/val_horizon_60_ega_zone_d_pct,fold1/val_horizon_60_ega_zone_d_count,fold1/val_horizon_60_ega_zone_e_pct,fold1/val_horizon_60_ega_zone_e_count,fold1/diag_horizon_curriculum_progress,fold1/diag_loss_horizon_weight_0,fold1/diag_loss_horizon_weight_1,fold1/diag_loss_horizon_weight_2,fold1/diag_loss_horizon_weight_3
1,0.3853748333319331,16.460086822509766,23.4232120513916,11.975919723510742,11.975919723510742,-0.05892908573150635,0.38218221068382263,81.42249298095703,17229.0,18.577503204345703,3931.0,0.0,0.0,0.0,0.0,0.0,0.0,15.389480590820312,22.072952270507812,11.223896980285645,11.223896980285645,0.05943220853805542,0.5011327862739563,83.7051010131836,4428.0,16.294897079467773,862.0,0.0,0.0,0.0,0.0,0.0,0.0,16.086483001708984,23.016069412231445,11.738282203674316,11.738282203674316,-0.022629976272583008,0.40115439891815186,82.36295318603516,4357.0,17.637052536010742,933.0,0.0,0.0,0.0,0.0,0.0,0.0,16.78082275390625,23.837682723999023,12.201749801635742,12.201749801635742,-0.09663236141204834,0.3307657837867737,80.58601379394531,4263.0,19.41398811340332,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,17.583568572998047,24.68598747253418,12.73975658416748,12.73975658416748,-0.17581462860107422,0.27684643864631653,79.0359115600586,4181.0,20.964082717895508,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.28333333134651184,0.21666665375232697,0.1666666716337204
2,0.35399740359828025,15.520059585571289,22.44051742553711,11.384865760803223,11.384865760803223,0.028059422969818115,0.40084943175315857,83.01512145996094,17566.0,16.98487663269043,3594.0,0.0,0.0,0.0,0.0,0.0,0.0,13.980290412902832,20.362442016601562,10.370573043823242,10.370573043823242,0.19955968856811523,0.5339144468307495,86.33270263671875,4567.0,13.66729736328125,723.0,0.0,0.0,0.0,0.0,0.0,0.0,15.142598152160645,22.034839630126953,11.140865325927734,11.140865325927734,0.06270551681518555,0.4218582808971405,83.47825622558594,4416.0,16.521738052368164,874.0,0.0,0.0,0.0,0.0,0.0,0.0,16.071189880371094,23.157018661499023,11.743592262268066,11.743592262268066,-0.03489971160888672,0.34628111124038696,81.81474304199219,4328.0,18.18525505065918,962.0,0.0,0.0,0.0,0.0,0.0,0.0,16.88616180419922,24.03948402404785,12.284431457519531,12.284431457519531,-0.11503398418426514,0.2845112681388855,80.43478393554688,4255.0,19.565217971801758,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.3245614171028137,0.2788847088813782,0.21998745203018188,0.17656642198562622
3,0.3256477361044869,14.612260818481445,21.15593147277832,10.843478202819824,10.843478202819824,0.13615012168884277,0.46961575746536255,84.801513671875,17944.0,15.198487281799316,3216.0,0.0,0.0,0.0,0.0,0.0,0.0,12.621346473693848,18.184120178222656,9.562906265258789,9.562906265258789,0.36165738105773926,0.6292592287063599,88.88468933105469,4702.0,11.115311622619629,588.0,0.0,0.0,0.0,0.0,0.0,0.0,14.253116607666016,20.67461585998535,10.63055419921875,10.63055419921875,0.17485332489013672,0.4933006167411804,85.7088851928711,4534.0,14.291114807128906,756.0,0.0,0.0,0.0,0.0,0.0,0.0,15.396443367004395,22.238330841064453,11.343029975891113,11.343029975891113,0.04558473825454712,0.40056273341178894,83.0623779296875,4394.0,16.937618255615234,896.0,0.0,0.0,0.0,0.0,0.0,0.0,16.178131103515625,23.18724250793457,11.837425231933594,11.837425231933594,-0.037375569343566895,0.34149208664894104,81.55009460449219,4314.0,18.449905395507812,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.31578949093818665,0.2744360864162445,0.223308265209198,0.18646617233753204
4,0.2896172258349423,14.182339668273926,20.353557586669922,10.539421081542969,10.539421081542969,0.2004333734512329,0.5412597060203552,85.88374328613281,18173.0,14.116257667541504,2987.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56291389465332,16.342174530029297,8.803821563720703,8.803821563720703,0.4844285249710083,0.7261696457862854,91.34215545654297,4832.0,8.657845497131348,458.0,0.0,0.0,0.0,0.0,0.0,0.0,13.84265422821045,19.77570152282715,10.34583854675293,10.34583854675293,0.2450467348098755,0.5679378509521484,86.25708770751953,4563.0,13.742912292480469,727.0,0.0,0.0,0.0,0.0,0.0,0.0,15.224427223205566,21.767223358154297,11.231195449829102,11.231195449829102,0.08559399843215942,0.45333144068717957,83.66729736328125,4426.0,16.332704544067383,864.0,0.0,0.0,0.0,0.0,0.0,0.0,16.099365234375,22.915334701538086,11.776826858520508,11.776826858520508,-0.013188362121582031,0.38866162300109863,82.2684326171875,4352.0,17.731569290161133,938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.30701756477355957,0.26998746395111084,0.22662906348705292,0.19636592268943787
5,0.2770373609633128,14.448211669921875,20.510421752929688,10.710745811462402,10.710745811462402,0.18806147575378418,0.5561323761940002,85.62381744384766,18118.0,14.376181602478027,3042.0,0.0,0.0,0.0,0.0,0.0,0.0,11.633406639099121,16.10713005065918,8.835453987121582,8.835453987121582,0.49915242195129395,0.7508159875869751,91.6068115234375,4846.0,8.393194198608398,444.0,0.0,0.0,0.0,0.0,0.0,0.0,14.106282234191895,19.921974182128906,10.512561798095703,10.512561798095703,0.2338373064994812,0.5817023515701294,86.31380462646484,4566.0,13.686201095581055,724.0,0.0,0.0,0.0,0.0,0.0,0.0,15.602399826049805,22.077733993530273,11.477276802062988,11.477276802062988,0.05931973457336426,0.45966920256614685,82.98676300048828,4390.0,17.013233184814453,900.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45075035095215,23.215478897094727,12.017695426940918,12.017695426940918,-0.03990375995635986,0.3888559639453888,81.58789825439453,4316.0,18.412097930908203,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2982456088066101,0.2655388414859772,0.22994986176490784,0.2062656730413437
6,0.27133417559268896,14.39645004272461,20.447669982910156,10.675994873046875,10.675994873046875,0.19302207231521606,0.563860297203064,85.68052673339844,18130.0,14.319470405578613,3030.0,0.0,0.0,0.0,0.0,0.0,0.0,11.481986999511719,15.826689720153809,8.73183536529541,8.73183536529541,0.5164411067962646,0.7628700733184814,91.8903579711914,4861.0,8.109641075134277,429.0,0.0,0.0,0.0,0.0,0.0,0.0,14.07127571105957,19.872087478637695,10.489431381225586,10.489431381225586,0.23766958713531494,0.5885076522827148,86.35160827636719,4568.0,13.648393630981445,722.0,0.0,0.0,0.0,0.0,0.0,0.0,15.58146858215332,22.076154708862305,11.463184356689453,11.463184356689453,0.05945444107055664,0.4641568958759308,83.02457427978516,4392.0,16.975425720214844,898.0,0.0,0.0,0.0,0.0,0.0,0.0,16.451068878173828,23.231191635131836,12.019526481628418,12.019526481628418,-0.04131186008453369,0.3928205668926239,81.45557403564453,4309.0,18.544424057006836,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.28947368264198303,0.2610902190208435,0.23327067494392395,0.2161654233932495
7,0.2639976410307255,14.467535018920898,20.5384464263916,10.711817741394043,10.711817741394043,0.1858411431312561,0.5680001378059387,85.59546661376953,18112.0,14.404537200927734,3048.0,0.0,0.0,0.0,0.0,0.0,0.0,11.422224044799805,15.697896003723145,8.670585632324219,8.670585632324219,0.5242792367935181,0.7735189199447632,92.1550064086914,4875.0,7.8449907302856445,415.0,0.0,0.0,0.0,0.0,0.0,0.0,14.143231391906738,19.958839416503906,10.525529861450195,10.525529861450195,0.2309991717338562,0.5922681093215942,86.48393249511719,4575.0,13.516068458557129,715.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68941879272461,22.226943969726562,11.526460647583008,11.526460647583008,0.04656195640563965,0.4640370309352875,82.74102020263672,4377.0,17.25897979736328,913.0,0.0,0.0,0.0,0.0,0.0,0.0,16.61526107788086,23.419967651367188,12.124696731567383,12.124696731567383,-0.05830395221710205,0.39132192730903625,81.00189208984375,4285.0,18.998109817504883,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.28070175647735596,0.25664159655570984,0.23659147322177887,0.22606515884399414
8,0.2571944428059261,14.43937873840332,20.476089477539062,10.684386253356934,10.684386253356934,0.19077742099761963,0.5792022347450256,85.78923034667969,18153.0,14.210775375366211,3007.0,0.0,0.0,0.0,0.0,0.0,0.0,11.203938484191895,15.305581092834473,8.488882064819336,8.488882064819336,0.5477601289749146,0.7942632436752319,92.98677062988281,4919.0,7.013232231140137,371.0,0.0,0.0,0.0,0.0,0.0,0.0,14.127056121826172,19.909448623657227,10.503545761108398,10.503545761108398,0.23480039834976196,0.6027564406394958,86.3705062866211,4569.0,13.62948989868164,721.0,0.0,0.0,0.0,0.0,0.0,0.0,15.74501895904541,22.269384384155273,11.567100524902344,11.567100524902344,0.04291731119155884,0.4685787558555603,82.70321655273438,4375.0,17.29678726196289,915.0,0.0,0.0,0.0,0.0,0.0,0.0,16.681499481201172,23.46291732788086,12.178014755249023,12.178014755249023,-0.06218922138214111,0.3946039080619812,81.0964126586914,4290.0,18.903593063354492,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2719298303127289,0.25219297409057617,0.2399122714996338,0.23596492409706116
9,0.251737308508311,14.165098190307617,20.18752098083496,10.47783088684082,10.47783088684082,0.21342533826828003,0.594955563545227,86.56427001953125,18317.0,13.4357271194458,2843.0,0.0,0.0,0.0,0.0,0.0,0.0,10.590484619140625,14.46595287322998,8.023563385009766,8.023563385009766,0.5960167646408081,0.8218366503715515,94.34783172607422,4991.0,5.65217399597168,299.0,0.0,0.0,0.0,0.0,0.0,0.0,13.843219757080078,19.57184410095215,10.292634010314941,10.292634010314941,0.26053136587142944,0.6196976900100708,87.27788543701172,4617.0,12.722116470336914,673.0,0.0,0.0,0.0,0.0,0.0,0.0,15.603649139404297,22.126556396484375,11.462536811828613,11.462536811828613,0.05515468120574951,0.4779013395309448,83.1758041381836,4400.0,16.824195861816406,890.0,0.0,0.0,0.0,0.0,0.0,0.0,16.623035430908203,23.414493560791016,12.132586479187012,12.132586479187012,-0.05780935287475586,0.4005778729915619,81.45557403564453,4309.0,18.544424057006836,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2631579041481018,0.2477443516254425,0.2432330846786499,0.24586467444896698
10,0.2447348683118152,13.906535148620605,19.90902328491211,10.296125411987305,10.296125411987305,0.23497802019119263,0.607774019241333,87.13137817382812,18437.0,12.868620872497559,2723.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97099494934082,13.642134666442871,7.568245887756348,7.568245887756348,0.6407192945480347,0.8434533476829529,95.38752746582031,5046.0,4.612476348876953,244.0,0.0,0.0,0.0,0.0,0.0,0.0,13.553206443786621,19.227863311767578,10.084080696105957,10.084080696105957,0.28629565238952637,0.6355139017105103,87.90170288085938,4650.0,12.098299026489258,640.0,0.0,0.0,0.0,0.0,0.0,0.0,15.509428024291992,22.00522804260254,11.404376983642578,11.404376983642578,0.06548815965652466,0.4855165183544159,83.57278442382812,4421.0,16.427221298217773,869.0,0.0,0.0,0.0,0.0,0.0,0.0,16.592514038085938,23.354402542114258,12.127799034118652,12.127799034118652,-0.05238676071166992,0.4035032391548157,81.66351318359375,4320.0,18.336483001708984,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.25438597798347473,0.24329572916030884,0.24655388295650482,0.2557644248008728
