fold,epoch,train_loss,val_loss,learning_rate
1,1.0,0.3291486216017306,0.4818373771831534,0.0006666666666666666
1,2.0,0.23522431700959479,0.36762890520528496,0.001
1,3.0,0.2151631568599055,0.33902330364757316,0.001
1,4.0,0.20620120175605564,0.32753564948621006,0.0009966529870822618
1,5.0,0.20168889599269688,0.31934631314755385,0.0009866572109370128
1,6.0,0.1999140871122269,0.3192045648742488,0.0009701478472890247
1,7.0,0.19814833304097818,0.3211028589192771,0.0009473481569600891
1,8.0,0.19719031329813702,0.3242167293011353,0.0009185664666494036
1,9.0,0.19480054498607544,0.3289442389133071,0.0008841919993438941
1,10.0,0.19218921695077168,0.3347695513799195,0.0008446896107450232
1,11.0,0.18743310863371906,0.3403437582892146,0.0008005935028928791
1,12.0,0.182281369976211,0.3487418883689635,0.0007524999999999999
1,13.0,0.17653869839535571,0.35291058212687704,0.0007010594841893826
1,14.0,0.17034729120341982,0.359899938084002,0.0006469676001919897
2,1.0,0.3374443296350157,0.42805517637167523,0.0006666666666666666
2,2.0,0.22825813634458936,0.355641586127154,0.001
2,3.0,0.2074077749048736,0.33434906719369134,0.001
2,4.0,0.19749398295974369,0.3245486447635961,0.0009966529870822618
2,5.0,0.19312232301854998,0.32160546885597957,0.0009866572109370128
2,6.0,0.18983470634106667,0.3201128338654571,0.0009701478472890247
2,7.0,0.1865413638174647,0.322068822709655,0.0009473481569600891
2,8.0,0.1846553578435583,0.324308661441912,0.0009185664666494036
2,9.0,0.18144550706901405,0.3275681755377526,0.0008841919993438941
2,10.0,0.17651385319413904,0.3308978985376686,0.0008446896107450232
2,11.0,0.17242925378584092,0.3343551288132413,0.0008005935028928791
2,12.0,0.16604306622067258,0.3395937861970959,0.0007524999999999999
2,13.0,0.1594737437463576,0.3456771878308698,0.0007010594841893826
2,14.0,0.15285042183335865,0.3517872269244727,0.0006469676001919897
3,1.0,0.3561902409284125,0.4216800951541251,0.0006666666666666666
3,2.0,0.24490889793969062,0.31094435469031856,0.001
3,3.0,0.22071860428763504,0.28683208417163664,0.001
3,4.0,0.20930146581292575,0.2805884255766001,0.0009966529870822618
3,5.0,0.20267273391467897,0.2805166354693006,0.0009866572109370128
3,6.0,0.19931778009844894,0.2818524299143357,0.0009701478472890247
3,7.0,0.194783975715772,0.28473415064152324,0.0009473481569600891
3,8.0,0.19221251604484024,0.28914081429984023,0.0009185664666494036
3,9.0,0.18721937427087348,0.29582745903964647,0.0008841919993438941
3,10.0,0.1810252605920967,0.3059904679460817,0.0008446896107450232
3,11.0,0.17366955737343104,0.3117102124284969,0.0008005935028928791
3,12.0,0.16686786454380098,0.3147618214462869,0.0007524999999999999
