fold,epoch,train_loss,val_loss,learning_rate
1,1.0,0.3853748333319331,0.5298971384369358,0.0006666666666666666
1,2.0,0.35399740359828025,0.4967282879330035,0.001
1,3.0,0.3256477361044869,0.4542093766434206,0.001
1,4.0,0.2896172258349423,0.423134460138238,0.0009966529870822618
1,5.0,0.2770373609633128,0.42586171482821716,0.0009866572109370128
1,6.0,0.27133417559268896,0.4228873187517624,0.0009701478472890247
1,7.0,0.2639976410307255,0.4246937701291984,0.0009473481569600891
1,8.0,0.2571944428059261,0.42159744232949325,0.0009185664666494036
1,9.0,0.251737308508311,0.41128320049473377,0.0008841919993438941
1,10.0,0.2447348683118152,0.4015099062586101,0.0008446896107450232
1,11.0,0.241983504481088,0.3964752611230587,0.0008005935028928791
1,12.0,0.23899570233910383,0.3923050818912023,0.0007524999999999999
1,13.0,0.23669870348976596,0.3898521622097109,0.0007010594841893826
1,14.0,0.2363675579310871,0.38971124258744466,0.0006469676001919897
1,15.0,0.23548387578690147,0.38788813803281585,0.0005909558479451306
1,16.0,0.23253087996601474,0.3880574366546083,0.0005337816903106854
1,17.0,0.2299880530757135,0.3871437246948199,0.00047621830968931444
1,18.0,0.22849859927887078,0.3863092578201078,0.00041904415205486954
1,19.0,0.2274770524979449,0.38685257500195996,0.00036303239980801027
1,20.0,0.22532968103876705,0.3855856588522293,0.0003089405158106173
1,21.0,0.22357506236758756,0.3872624996929854,0.0002575000000000001
1,22.0,0.22157278947288372,0.38619071337586314,0.0002094064971071209
1,23.0,0.22133200211912904,0.38651201918805705,0.00016531038925497694
1,24.0,0.21999375022448994,0.38645597227579703,0.00012580800065610574
1,25.0,0.22006379692842923,0.3870938253087222,9.143353335059652e-05
1,26.0,0.21888690378696224,0.38786754702800613,6.265184303991097e-05
1,27.0,0.2184658208600062,0.38847330693711857,3.985215271097538e-05
1,28.0,0.21785399443595294,0.38771920393455234,2.3342789062987213e-05
2,1.0,0.3698858940284664,0.4685002854393334,0.0006666666666666666
2,2.0,0.3414511722789996,0.4639813956915693,0.001
2,3.0,0.3138122184566121,0.4517561829063148,0.001
2,4.0,0.27503765076116093,0.41919372934306,0.0009966529870822618
2,5.0,0.26261975387468284,0.40016870691069933,0.0009866572109370128
2,6.0,0.2527808197874724,0.3892518488012004,0.0009701478472890247
2,7.0,0.24296914302872977,0.37821958089306346,0.0009473481569600891
